"Job","Applied to","Number","Transaction Date","Amt. Due","Sales Order:Quantity"
"4563","Costco Vaughan Wet","6845","01/08/2025","USD 24,093.00","900"
"4504","Costco Varennes","6844","01/08/2025","USD 24,093.00","900"
"4493","Costco Vaughan Wet","6843","01/06/2025","USD 24,093.00","900"
"4492","Costco Varennes","6842","01/06/2025","USD 24,093.00","900"
"4449","Costco Vaughan Wet","6841","01/04/2025","USD 24,093.00","900"
"4450","Costco Varennes","6832","01/04/2025","USD 24,093.00","900"
"4588","Costco Vaughan Wet","6831","01/04/2025","USD 24,093.00","900"
"4541","Krown Produce  Fresh At Its Best™","6837","01/03/2025","USD 22,239.00","900"
"4490","Costco Vaughan Wet","6830","01/03/2025","USD 24,093.00","900"
"4501","Sobeys Quebec City","6840","01/02/2025","USD 6,857.28","288"
"4501","Sobeys BCH","6839","01/02/2025","USD 16,000.32","672"
"4509","Top Banana","6838","01/02/2025","USD 22,788.00","900"
"4521","Chiovitti Banana Co., Ltd","6833","01/02/2025","USD 21,321.60","960"
"4451","Costco Varennes","6829","01/02/2025","USD 24,093.00","900"
"4540","Costco Vaughan Wet","6828","01/02/2025","USD 24,093.00","900"
"4491","Costco Vaughan Wet","6827","01/02/2025","USD 24,093.00","900"
"4496","Chiovitti Banana Co., Ltd","6836","01/01/2025","USD 23,385.60","960"
"4494","Chiovitti Banana Co., Ltd","6835","01/01/2025","USD 22,972.80","960"
"4477","Costco Varennes","6826","12/31/2024","USD 24,093.00","900"
"4478","Costco Vaughan Wet","6825","12/31/2024","USD 24,093.00","900"
"4514","Krown Produce  Fresh At Its Best™","6821","12/31/2024","USD 22,239.00","900"
"4481","Costco Varennes","6824","12/30/2024","USD 24,093.00","900"
"4480","Costco Vaughan Wet","6823","12/30/2024","USD 24,093.00","900"
"4499","Top Banana","6820","12/30/2024","USD 22,788.00","900"
"4453","Courchesne Larose","6819","12/30/2024","USD 24,643.20","960"
"4495","Chiovitti Banana Co., Ltd","6818","12/30/2024","USD 21,321.60","960"
"4482","Sobeys Quebec City","6816","12/29/2024","USD 6,857.28","288"
"4482","Sobeys BCH","6815","12/29/2024","USD 16,000.32","672"
"4476","Costco Vaughan Wet","6822","12/28/2024","USD 24,093.00","900"
"4461","Chiovitti Banana Co., Ltd","6817","12/27/2024","USD 23,385.60","960"
"4447","Costco Vaughan Wet","6805","12/27/2024","USD 24,093.00","900"
"4463","Costco Varennes","6804","12/27/2024","USD 24,093.00","900"
"4497","Chiovitti Banana Co., Ltd","6814","12/26/2024","USD 21,321.60","960"
"4479","Charlies Seattle","6813","12/26/2024","USD 20,174.40","720"
"4474","Sobeys Quebec City","6812","12/26/2024","USD 6,857.28","288"
"4474","Sobeys BCH","6811","12/26/2024","USD 16,000.32","672"
"4539","Chiovitti Banana Co., Ltd","6810","12/26/2024","USD 23,385.60","960"
"4470","Krown Produce  Fresh At Its Best™","6809","12/26/2024","USD 22,599.00","900"
"4466","Costco Vaughan Wet","6803","12/26/2024","USD 24,093.00","900"
"4465","Costco Vaughan Wet","6802","12/26/2024","USD 24,093.00","900"
"4448","Top Banana","6808","12/24/2024","USD 22,788.00","900"
"4464","Costco Vaughan Wet","6799","12/24/2024","USD 24,093.00","900"
"4469","Chiovitti Banana Co., Ltd","6807","12/23/2024","USD 21,321.60","960"
"4538","Chiovitti Banana Co., Ltd","6806","12/23/2024","USD 23,385.60","960"
"4475","Sobeys Quebec City","6801","12/23/2024","USD 6,857.28","288"
"4475","Sobeys BCH","6800","12/23/2024","USD 16,000.32","672"
"4471","Costco Varennes","6798","12/23/2024","USD 24,093.00","900"
"4483","Costco Vaughan Wet","6797","12/23/2024","USD 24,093.00","900"
