"Number","Entity","Transaction Date","Employee","Account Name","Is Deposited","Bank Account","Reconciliation Date","Amount","AR Amount (CAD)","Exported","Memo","Amount (CAD)","Tax Amount (CAD)","Tax Amount","Withholding Tax Amount (CAD)","Withholding Tax Amount","Division","Currency","Exchange Rate","Reverse Exchange Rate","Is Printed","Online Payment","Credit (CAD)","Template Name","Realized Amount (CAD)","Gain/Loss (CAD)","Attachments","Settled Date","Confirmation Number","Status"
"00022387842025","Costco Varennes","01/10/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","34,260.25","No",,"34,814.39","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"34,814.39","-554.14","No",,,
"00022387842025","Costco Vaughan Wet","01/10/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","34,260.25","No",,"34,814.39","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.45","No","No","0.00",,"34,814.39","-554.14","No",,,
"00568366","Courchesne Larose","01/09/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,643.20","34,722.27","No",,"35,584.78","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.44","No","No","0.00",,"35,584.78","-862.51","No",,,
" 00022330642025","Costco Vaughan Wet","01/09/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","34,200.01","No",,"34,790.29","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.44","No","No","0.00",,"34,790.29","-590.28","No",,,
"KPI01603","Krown Produce  Fresh At Its Best™","01/09/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 22,599.00","32,599.06","No",,"32,632.96","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.44","No","No","0.00",,"32,632.96","-33.90","Yes",,,
"22434","Chiovitti Banana Co., Ltd","01/08/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 112,387.20","161,435.20","No",,"162,287.12","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.44","No","No","0.00",,"162,287.12","-851.92","No",,,
"00022264602025","Costco Vaughan Wet","01/08/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 48,186.00","68,279.56","No",,"69,580.58","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.44","No","No","0.00",,"69,580.58","-1,301.02","No",,,
"00022264602025","Costco Varennes","01/08/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 24,093.00","34,139.78","No",,"34,790.29","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.69","1.44","No","No","0.00",,"34,790.29","-650.51","No",,,
"30704","Top Banana","01/07/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 22,788.00","32,871.69","No",,"32,700.78","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.44","No","No","0.00",,"32,700.78","170.91","No",,,
"2000361309","Sobeys Quebec City","01/07/2025","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC",,"USD 20,571.84","28,985.73","No",,"29,520.59","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.70","1.44","No","No","0.00",,"29,520.59","-534.86","No",,,
