Status,job,Supplier,Customer,Expense,Income,Profit,Customer:Account Number,Date,Due Date,End Date,Employee
Closed,1854,APPBOSA,Courchesne Larose,4333.43,28560.96,24227.53,C00007,12/4/2021,12/4/2021,8/22/2022,Amandine Hance
Closed,1859,ASOGUABO,Costco Vaughan Wet,3335.25,28213.18,24877.93,C00006/004,11/27/2021,11/27/2021,8/22/2022,Amandine Hance
Closed,1863,ASOGUABO,Costco Vaughan Wet,3294.74,28213.18,24918.44,C00006/004,11/30/2021,11/30/2021,8/22/2022,Amandine Hance
Closed,1864,COQUIMBA,"Chiovitti Banana Co., Ltd",3282.93,24045.84,20762.91,C00004,12/13/2021,12/4/2021,6/9/2022,Amandine Hance
Closed,1869,APPBOSA,Courchesne Larose,3083.74,28560.96,25477.22,C00007,11/11/2021,12/7/2021,6/9/2022,Amandine Hance
Closed,1871,ASOGUABO,Costco Vaughan Wet,4236.43,28034.21,23797.78,C00006/004,12/3/2021,12/3/2021,6/9/2022,Amandine Hance
Closed,1873,Coliman Pacific Corporation,MIXED Chiov Gambles,6607.79,28485.07,21877.28,,12/15/2021,12/6/2021,6/9/2022,Amandine Hance
Closed,1874,ASOGUABO,Costco Vaughan Wet,4514.22,28034.21,23519.99,C00006/004,12/6/2021,12/6/2021,6/9/2022,Amandine Hance
Closed,1875,ASOGUABO,Sobeys BCH,4706.77,31680,26973.23,C00024/001,11/15/2021,12/6/2021,6/9/2022,Amandine Hance
Closed,1877,APPBOSA,Sobeys BCH,7788.56,31680,23891.44,C00024/001,12/16/2021,12/15/2021,6/9/2022,Amandine Hance
Closed,1878,ASOGUABO,"Chiovitti Banana Co., Ltd",8519.1,24045.84,15526.74,C00004,12/9/2021,12/9/2021,6/9/2022,Amandine Hance
Closed,1879,ASOGUABO,MIXED Chiov Gambles,8615.45,27991.83,19376.38,,12/9/2021,12/9/2021,6/9/2022,Amandine Hance
Closed,1880,APPBOSA,Courchesne Larose,7703.57,28978.32,21274.75,C00007,12/10/2021,12/10/2021,6/9/2022,Amandine Hance
Closed,1881,ASOGUABO,Costco Vaughan Wet,8440.81,28245.92,19805.11,C00006/004,12/16/2021,12/10/2021,6/9/2022,Amandine Hance
Closed,1882,C.I. AGRICOLAS LAS FLORES S.A.S.,"Chiovitti Banana Co., Ltd",8054.94,24135.7,16080.76,C00004,12/16/2021,12/14/2021,6/9/2022,Amandine Hance
Closed,1883,Coliman Pacific Corporation,MIXED Chiov Gambles,25792.94,28343.96,2551.02,,12/16/2021,12/13/2021,11/9/2022,Amandine Hance
Closed,1884,ASOGUABO,Courchesne Larose,8816.86,29086.61,20269.75,C00007,12/16/2021,12/13/2021,6/9/2022,Amandine Hance
Closed,1885,ASOGUABO,Sobeys BCH,10902.45,31680,20777.55,C00024/001,12/16/2021,12/11/2021,6/9/2022,Amandine Hance
Closed,1886,ASOGUABO,Costco Vaughan Wet,8771.97,28245.92,19473.95,C00006/004,12/16/2021,12/13/2021,6/9/2022,Amandine Hance
Closed,1887,APPBOSA,Courchesne Larose,11073.86,29197.15,18123.29,C00007,12/16/2021,12/20/2021,6/9/2022,Amandine Hance
Closed,1888,ASOGUABO,"Chiovitti Banana Co., Ltd",8450.03,24227.42,15777.39,C00004,12/16/2021,12/18/2021,6/9/2022,Amandine Hance
Closed,1889,Coliman Pacific Corporation,MIXED Chiov Gambles,26358.83,28345.37,1986.54,,12/15/2021,12/16/2021,11/9/2022,Amandine Hance
Closed,1890,APPBOSA,Sobeys BCH,7720.18,31680,23959.82,C00024/001,12/16/2021,12/18/2021,6/9/2022,Amandine Hance
Closed,1891,ASOGUABO,"Chiovitti Banana Co., Ltd",8455.36,23916.58,15461.22,C00004,12/17/2021,12/22/2021,6/9/2022,Amandine Hance
Closed,1892,ASOGUABO,Costco Vaughan Wet,8378.18,27964.38,19586.2,C00006/004,12/16/2021,12/17/2021,6/9/2022,Amandine Hance
Closed,1893,APPBOSA,Sobeys BCH,25724.13,31680,5955.87,C00024/001,12/17/2021,12/21/2021,11/9/2022,Amandine Hance
Closed,1894,ASOGUABO,Courchesne Larose,10804.61,28836.19,18031.58,C00007,12/15/2021,12/16/2021,6/9/2022,Amandine Hance
Closed,1895,ASOGUABO,"Chiovitti Banana Co., Ltd",10833.5,23927.9,13094.4,C00004,12/15/2021,12/17/2021,6/9/2022,Amandine Hance
Closed,1896,ASOGUABO,MIXED Chiov Gambles,8842.86,25238.55,16395.69,,12/17/2021,12/20/2021,6/9/2022,Amandine Hance
Closed,1897,ASOGUABO,Costco Vaughan Wet,8374.38,27964.38,19590,C00006/004,12/17/2021,12/21/2021,6/9/2022,Amandine Hance
Closed,1898,APPBOSA,Sobeys BCH,7755.08,31680,23924.92,C00024/001,12/17/2021,12/23/2021,6/9/2022,Amandine Hance
Closed,1899,APPBOSA,Sobeys BCH,8117.58,31680,23562.42,C00024/001,12/17/2021,12/27/2021,6/9/2022,Amandine Hance
Closed,1900,ASOGUABO,MIXED Chiov Gambles,23134.01,27184.06,4050.05,,12/20/2021,12/28/2021,11/9/2022,Amandine Hance
Closed,1901,ASOGUABO,Costco Vaughan Wet,23597.26,27735.21,4137.95,C00006/004,12/20/2021,1/5/2022,11/9/2022,Amandine Hance
Closed,1902,ASOGUABO,"Chiovitti Banana Co., Ltd",20322.5,23985.94,3663.44,C00004,12/20/2021,12/24/2021,11/9/2022,Amandine Hance
Closed,1903,ASOGUABO,Costco Vaughan Wet,23592.89,27735.21,4142.32,C00006/004,12/20/2021,1/5/2022,11/9/2022,Amandine Hance
Closed,1904,ASOGUABO,Courchesne Larose,26921.87,28906.13,1984.26,C00007,12/20/2021,12/29/2021,11/9/2022,Amandine Hance
Closed,1905,ASOGUABO,"Chiovitti Banana Co., Ltd",20323.54,23985.94,3662.4,C00004,12/20/2021,12/28/2021,11/9/2022,Amandine Hance
Closed,1906,C.I. AGRICOLAS LAS FLORES S.A.S.,Sobeys BCH,26613.2,31680,5066.8,C00024/001,12/15/2021,1/15/2022,11/9/2022,Amandine Hance
Closed,1907,APPBOSA,SPLIT: BCH + Cola,22231.19,30174.62,7943.43,,12/21/2021,1/3/2022,11/9/2022,Amandine Hance
Closed,1908,APPBOSA,Courchesne Larose,25861.74,30536.35,4674.61,C00007,12/21/2021,1/21/2022,11/9/2022,Amandine Hance
Closed,1909,Coliman Pacific Corporation,MIXED Chiov Gambles,27239.75,28086.76,847.01,,12/21/2021,12/30/2021,11/9/2022,Amandine Hance
