Name,Type,Account Number,Balance (CAD),Currency,Parent Account,Balance,Type Code,Opening Balance Date,Cleared Balance,Reconciliation Date,No Cleared Balance (CAD),No Cleared Balance
Undeposited Funds,Undeposited Funds,,0.00,Canadian Dollar,,CAD 0.00,OCASSET,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Visa à payer,Other Current Liabilities,20158.0,"-21,150.37",Canadian Dollar,,CAD -21150.37,OCLIAB,09/06/2024,CAD 0.00,09/06/2024,0.00,CAD 0.00
Avantage Assurance maladie,Other Current Liabilities,22250.0,-482.91,Canadian Dollar,,CAD -482.91,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Assurance maladie à payer,Other Current Liabilities,22210.0,-207.49,Canadian Dollar,,CAD -207.49,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Ass.invalidité longue durée à payer,Other Current Liabilities,22230.0,-189.53,Canadian Dollar,,CAD -189.53,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
TVQ payée sur les achats,Other Current Liabilities,23450.0,-38.28,Canadian Dollar,TVQ à remettre (Remboursement),CAD -38.28,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Assurance-vie à payer,Other Current Liabilities,22200.0,-32.82,Canadian Dollar,,CAD -32.82,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
TPS/TVH payées sur achat,Other Current Liabilities,23150.0,-19.21,Canadian Dollar,TPS/TVH à remettre (Remboursement),CAD -19.21,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total du passif à court terme,Other Current Liabilities,25000.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
TVQ à remettre (Remboursement),Other Current Liabilities,23600.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
TVQ perçue sur les ventes,Other Current Liabilities,23400.0,0.00,Canadian Dollar,TVQ à remettre (Remboursement),CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
TPS/TVH à remettre (Remboursement),Other Current Liabilities,23350.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
TPS/TVH perçue sur les ventes,Other Current Liabilities,23100.0,0.00,Canadian Dollar,TPS/TVH à remettre (Remboursement),CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total REER et RPDB à payer,Other Current Liabilities,23051.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
RPDB à payer (portion employeur),Other Current Liabilities,23050.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
REER Patronale,Other Current Liabilities,23025.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
REER à payer,Other Current Liabilities,23000.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total Assurance collective à payer,Other Current Liabilities,22290.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Avantage Assurance vie,Other Current Liabilities,22245.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Ass.décès-mutilation accid. à payer,Other Current Liabilities,22240.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Ass.-vie personne à charge à payer,Other Current Liabilities,22205.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total - Ministère Revenu Québec,Other Current Liabilities,22150.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
CNT à payer,Other Current Liabilities,22130.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
CSST à payer,Other Current Liabilities,22125.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
RQAP à payer,Other Current Liabilities,22120.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
RAMQ à payer,Other Current Liabilities,22100.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Québec à payer,Other Current Liabilities,22050.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
RRQ à payer,Other Current Liabilities,22000.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total receveur général du Canada,Other Current Liabilities,21950.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Impôt fédéral à payer,Other Current Liabilities,21900.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
RPC à payer,Other Current Liabilities,21850.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Assurance-emploi à payer,Other Current Liabilities,21800.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Don à payer,Other Current Liabilities,21660.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,01/10/2025,CAD 0.00,01/10/2025,0.00,CAD 0.00
Salaires à payer,Other Current Liabilities,21600.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Impôt sur bénéfices à payer,Other Current Liabilities,21300.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Impôt sur bénéfices FED à payer,Other Current Liabilities,21250.0,0.00,Canadian Dollar,Impôt sur bénéfices à payer,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Impôt sur bénéfices QC à payer,Other Current Liabilities,21200.0,0.00,Canadian Dollar,Impôt sur bénéfices à payer,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais courus,Other Current Liabilities,20195.0,0.00,Canadian Dollar,Passif à court terme,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais courus Prime Sociale transit,Other Current Liabilities,20190.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais courus Agrofair transit,Other Current Liabilities,20185.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total comptes à payer,Other Current Liabilities,20170.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Mastercard à payer,Other Current Liabilities,20157.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Marge de crédit USD,Other Current Liabilities,20151.0,0.00,United States Dollar,,USD 0.00,OCLIAB,02/24/2023,USD 0.00,02/24/2023,0.00,USD 0.00
Marge de crédit,Other Current Liabilities,20150.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Conversion comptes payables US,Other Current Liabilities,20125.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Passif à court terme,Other Current Liabilities,20000.0,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Visa à payer USD,Other Current Liabilities,,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,10/17/2024,CAD 0.00,10/17/2024,0.00,CAD 0.00
Sales Tax Payable,Other Current Liabilities,,0.00,Canadian Dollar,,CAD 0.00,OCLIAB,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Assurance dentaire à payer,Other Current Liabilities,22220.0,30.32,Canadian Dollar,,CAD 30.32,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Produits perçus d'avance,Other Current Liabilities,24000.0,"2,481.62",Canadian Dollar,,CAD 2481.62,OCLIAB,12/05/2024,CAD 0.00,12/05/2024,0.00,CAD 0.00
Frais courus Fairtrade US,Other Current Liabilities,20181.0,"5,159.43",Canadian Dollar,,CAD 5159.43,OCLIAB,05/16/2024,CAD 0.00,05/16/2024,0.00,CAD 0.00
Frais courus qualité-origine,Other Current Liabilities,20186.0,"5,818.40",United States Dollar,,USD 3500.00,OCLIAB,12/16/2021,USD 0.00,12/16/2021,0.00,USD 0.00
Frais courus Prime Sociale,Other Current Liabilities,20191.0,"22,710.33",United States Dollar,,USD 13740.00,OCLIAB,12/16/2021,USD 0.00,12/16/2021,0.00,USD 0.00
Vacances à payer,Other Current Liabilities,21700.0,"39,572.21",Canadian Dollar,,CAD 39572.21,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais courus Fairtrade CA,Other Current Liabilities,20180.0,"76,500.08",Canadian Dollar,,CAD 76500.08,OCLIAB,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Boni à payer,Other Current Liabilities,21650.0,"295,310.51",Canadian Dollar,,CAD 295310.51,OCLIAB,11/30/2023,CAD 0.00,11/30/2023,0.00,CAD 0.00
Fonds de projets sociaux,Other Current Assets,11320.0,"-12,986.18",Canadian Dollar,,CAD -12986.18,OCASSET,02/05/2024,CAD 0.00,02/05/2024,0.00,CAD 0.00
Total des investissements,Other Current Assets,19630.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Investissement Kool School,Other Current Assets,19605.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Investissements,Other Current Assets,19600.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais de constitution,Other Current Assets,19300.0,0.00,Canadian Dollar,,CAD 0.00,OCASSET,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
