Type,Number,Applied to,Date,Employee,Account Name,Debit (CAD),Credit (CAD),Balance (CAD),Memo,Reconciliation Date,Debit,Credit,Balance,Cleared,Clearing,Currency,Internal Type,Amount (CAD),Amount
Credit Memo,CR3069,GO FRESH,11/03/2020,Jennie Coleman,Comptes clients CAD,,"10,515.89","-10,515.89",,,CAD 0.00,"CAD 10,515.89","CAD -10,515.89",No,No,Canadian Dollar,Refund,"10,515.89","CAD 10,515.89"
Credit Memo,CR3069,GO FRESH,11/03/2020,Jennie Coleman,Opening Balance Income,"10,515.89",,"10,515.89",,,"CAD 10,515.89",CAD 0.00,"CAD 10,515.89",No,No,Canadian Dollar,Refund,"-10,515.89","CAD -10,515.89"
Credit Memo,CR27112020,GO FRESH,11/27/2020,Jennie Coleman,Comptes clients CAD,,"1,947.75","-1,947.75",,,CAD 0.00,"CAD 1,947.75","CAD -1,947.75",No,No,Canadian Dollar,Refund,"1,947.75","CAD 1,947.75"
Credit Memo,CR27112020,GO FRESH,11/27/2020,Jennie Coleman,Opening Balance Income,"1,947.75",,"1,947.75",,,"CAD 1,947.75",CAD 0.00,"CAD 1,947.75",No,No,Canadian Dollar,Refund,"-1,947.75","CAD -1,947.75"
Journal Entry,8,Acc Migration,11/30/2020,Jennie Coleman,Comptes clients CAD,"12,463.64",,"-12,463.64",2020 Adjustment,,"CAD 12,463.64",CAD 0.00,"CAD -12,463.64",No,No,Canadian Dollar,JournalEntryLine,"-12,463.64","CAD -12,463.64"
Journal Entry,8,Acc Migration,11/30/2020,Jennie Coleman,Opening Balance Income,,"12,463.64","12,463.64",2020 Adjustment,,CAD 0.00,"CAD 12,463.64","CAD 12,463.64",No,No,Canadian Dollar,JournalEntryLine,"12,463.64","CAD 12,463.64"
Journal Entry,C2020,,11/30/2020,Jennie Coleman,Opening Balance Income,,,,Closing entry for the fiscal year 2020,,CAD 0.00,CAD 0.00,CAD 0.00,No,No,Canadian Dollar,JournalEntryLine,0.00,CAD 0.00
Journal Entry,C2020,,11/30/2020,Jennie Coleman,Retained Earnings,,,,Closing entry for the fiscal year 2020,,CAD 0.00,CAD 0.00,CAD 0.00,No,No,Canadian Dollar,JournalEntryLine,0.00,CAD 0.00
Journal Entry,,,12/07/2020,Karyne Manseau,Frais payés d'avance,,12.50,12.50,"FPA, CIBIM",,CAD 0.00,CAD 12.50,CAD 12.50,No,No,Canadian Dollar,JournalEntryLine,12.50,CAD 12.50
Journal Entry,,,12/07/2020,Karyne Manseau,Cotisations autres,12.50,,-12.50,"FPA, CIBIM",,CAD 12.50,CAD 0.00,CAD -12.50,No,No,Canadian Dollar,JournalEntryLine,-12.50,CAD -12.50
Journal Entry,12/31/2020,,12/31/2020,Karyne Manseau,Frais courus Fairtrade CA,421.78,,-421.78,AJ. FRAIS COURU FAIRTRADE,,CAD 421.78,CAD 0.00,CAD -421.78,No,No,Canadian Dollar,JournalEntryLine,-421.78,CAD -421.78
Journal Entry,12/31/2020,,12/31/2020,Karyne Manseau,Frais de licence CA,,421.78,421.78,AJ. FRAIS COURU FAIRTRADE,,CAD 0.00,CAD 421.78,CAD 421.78,No,No,Canadian Dollar,JournalEntryLine,421.78,CAD 421.78
Journal Entry,,,01/07/2021,Karyne Manseau,Frais payés d'avance,,12.50,12.50,"FPA, CIBIM",,CAD 0.00,CAD 12.50,CAD 12.50,No,No,Canadian Dollar,JournalEntryLine,12.50,CAD 12.50
Journal Entry,,,01/07/2021,Karyne Manseau,Cotisations autres,12.50,,-12.50,"FPA, CIBIM",,CAD 12.50,CAD 0.00,CAD -12.50,No,No,Canadian Dollar,JournalEntryLine,-12.50,CAD -12.50
Bill,1450,AgroFair,01/15/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,1450,AgroFair,01/15/2021,Karyne Manseau,Frais qualité - origine,,122.18,122.18,,,USD 0.00,USD 96.00,USD 96.00,No,No,United States Dollar,Bill,-122.18,USD -96.00
Bill,1450,AgroFair,01/15/2021,Karyne Manseau,Frais courus qualité-origine,122.18,,-122.18,,,USD 96.00,USD 0.00,USD -96.00,No,No,United States Dollar,BillLine,122.18,USD 96.00
Bill,1465,AgroFair,01/20/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,1465,AgroFair,01/20/2021,Karyne Manseau,Frais qualité - origine,,121.50,121.50,,,USD 0.00,USD 96.00,USD 96.00,No,No,United States Dollar,Bill,-121.50,USD -96.00
Bill,1465,AgroFair,01/20/2021,Karyne Manseau,Frais courus qualité-origine,121.50,,-121.50,,,USD 96.00,USD 0.00,USD -96.00,No,No,United States Dollar,BillLine,121.50,USD 96.00
Bill,1464,AgroFair,01/26/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,1464,AgroFair,01/26/2021,Karyne Manseau,Frais qualité - origine,,122.07,122.07,,,USD 0.00,USD 96.00,USD 96.00,No,No,United States Dollar,Bill,-122.07,USD -96.00
Bill,1464,AgroFair,01/26/2021,Karyne Manseau,Frais courus qualité-origine,122.07,,-122.07,,,USD 96.00,USD 0.00,USD -96.00,No,No,United States Dollar,BillLine,122.07,USD 96.00
Journal Entry,1/28/2021,,01/28/2021,Karyne Manseau,Frais courus qualité-origine,,499.02,499.02,AJ. FRAIS COURU AGROFAIR USD/CAD,,USD 0.00,USD 0.00,USD 0.00,No,No,United States Dollar,JournalEntryLine,499.02,USD 0.00
Journal Entry,1/28/2021,,01/28/2021,Karyne Manseau,Frais qualité - origine,499.02,,-499.02,AJ. FRAIS COURU AGROFAIR USD/CAD,,CAD 499.02,CAD 0.00,CAD -499.02,No,No,Canadian Dollar,JournalEntryLine,-499.02,CAD -499.02
Journal Entry,2/5/2021,,02/05/2021,Karyne Manseau,Frais courus qualité-origine,80.56,,-80.56,AJ. FRAIS COURU AGROFAIR USD/CAD,,USD 0.00,USD 0.00,USD 0.00,No,No,United States Dollar,JournalEntryLine,-80.56,USD 0.00
