Job,Applied to,Number,Transaction Date,Amt. Due,Sales Order:Quantity
4563.0,Costco Vaughan Wet,6845,01/08/2025,"USD 24,093.00",900.0
4504.0,Costco Varennes,6844,01/08/2025,"USD 24,093.00",900.0
4493.0,Costco Vaughan Wet,6843,01/06/2025,"USD 24,093.00",900.0
4492.0,Costco Varennes,6842,01/06/2025,"USD 24,093.00",900.0
4449.0,Costco Vaughan Wet,6841,01/04/2025,"USD 24,093.00",900.0
4450.0,Costco Varennes,6832,01/04/2025,"USD 24,093.00",900.0
4588.0,Costco Vaughan Wet,6831,01/04/2025,"USD 24,093.00",900.0
4541.0,Krown Produce  Fresh At Its Best™,6837,01/03/2025,"USD 22,239.00",900.0
4490.0,Costco Vaughan Wet,6830,01/03/2025,"USD 24,093.00",900.0
4501.0,Sobeys Quebec City,6840,01/02/2025,"USD 6,857.28",288.0
4501.0,Sobeys BCH,6839,01/02/2025,"USD 16,000.32",672.0
4509.0,Top Banana,6838,01/02/2025,"USD 22,788.00",900.0
4521.0,"Chiovitti Banana Co., Ltd",6833,01/02/2025,"USD 21,321.60",960.0
4451.0,Costco Varennes,6829,01/02/2025,"USD 24,093.00",900.0
4540.0,Costco Vaughan Wet,6828,01/02/2025,"USD 24,093.00",900.0
4491.0,Costco Vaughan Wet,6827,01/02/2025,"USD 24,093.00",900.0
4496.0,"Chiovitti Banana Co., Ltd",6836,01/01/2025,"USD 23,385.60",960.0
4494.0,"Chiovitti Banana Co., Ltd",6835,01/01/2025,"USD 22,972.80",960.0
4477.0,Costco Varennes,6826,12/31/2024,"USD 24,093.00",900.0
4478.0,Costco Vaughan Wet,6825,12/31/2024,"USD 24,093.00",900.0
4514.0,Krown Produce  Fresh At Its Best™,6821,12/31/2024,"USD 22,239.00",900.0
4481.0,Costco Varennes,6824,12/30/2024,"USD 24,093.00",900.0
4480.0,Costco Vaughan Wet,6823,12/30/2024,"USD 24,093.00",900.0
4499.0,Top Banana,6820,12/30/2024,"USD 22,788.00",900.0
4453.0,Courchesne Larose,6819,12/30/2024,"USD 24,643.20",960.0
4495.0,"Chiovitti Banana Co., Ltd",6818,12/30/2024,"USD 21,321.60",960.0
4482.0,Sobeys Quebec City,6816,12/29/2024,"USD 6,857.28",288.0
4482.0,Sobeys BCH,6815,12/29/2024,"USD 16,000.32",672.0
4476.0,Costco Vaughan Wet,6822,12/28/2024,"USD 24,093.00",900.0
4461.0,"Chiovitti Banana Co., Ltd",6817,12/27/2024,"USD 23,385.60",960.0
4447.0,Costco Vaughan Wet,6805,12/27/2024,"USD 24,093.00",900.0
4463.0,Costco Varennes,6804,12/27/2024,"USD 24,093.00",900.0
4497.0,"Chiovitti Banana Co., Ltd",6814,12/26/2024,"USD 21,321.60",960.0
4479.0,Charlies Seattle,6813,12/26/2024,"USD 20,174.40",720.0
4474.0,Sobeys Quebec City,6812,12/26/2024,"USD 6,857.28",288.0
4474.0,Sobeys BCH,6811,12/26/2024,"USD 16,000.32",672.0
4539.0,"Chiovitti Banana Co., Ltd",6810,12/26/2024,"USD 23,385.60",960.0
4470.0,Krown Produce  Fresh At Its Best™,6809,12/26/2024,"USD 22,599.00",900.0
4466.0,Costco Vaughan Wet,6803,12/26/2024,"USD 24,093.00",900.0
4465.0,Costco Vaughan Wet,6802,12/26/2024,"USD 24,093.00",900.0
4448.0,Top Banana,6808,12/24/2024,"USD 22,788.00",900.0
4464.0,Costco Vaughan Wet,6799,12/24/2024,"USD 24,093.00",900.0
4469.0,"Chiovitti Banana Co., Ltd",6807,12/23/2024,"USD 21,321.60",960.0
4538.0,"Chiovitti Banana Co., Ltd",6806,12/23/2024,"USD 23,385.60",960.0
4475.0,Sobeys Quebec City,6801,12/23/2024,"USD 6,857.28",288.0
4475.0,Sobeys BCH,6800,12/23/2024,"USD 16,000.32",672.0
