Part Number,Description,Manufacturer,Package,Pieces,Sellable,Unit,Amount Per Pallet,Incoming Pieces,Cost,Total Purchase Cost (CAD),Total Billed Pieces,Model,Creation Date,Sale Item,Purchase Item,Allocated Pieces,Allocated Incoming Pieces,Length (in),Width (in),Height (in),Weight (lb),Volume (ft³),Total OnHand Weight (lb),Preferred Vendor,Costing Method,Total Landed Cost (CAD),Average Landed Cost (CAD),Average Purchase Cost (CAD),Minimum Lead Time,Maximum Lead Time,Reserved Pieces,Available Pieces,Available Now,Categories,English Description,French Description
008PEAPP,Banano Cavendish Organico Fairtrade 3lb con Banda,APPBOSA,Bandeja Organica/Open-Top Case (Morado y verde),0,No,Cases,48,0,0.0,0.00,0,Organic banana,08/01/2022,,,0,0,16.14,24.02,9.06,39.99,2.12,0.00,,Specific Identification,0.00,0.0,0.0,0,0,0,0,0,,Organic and Fairtrade Cavendish Banana 3lb,Banane Cavendish Biologique et Fairtrade 3lb
008MXCOL,Banano Cavendish Organico Fairtrade con Banda - 100,Coliman Pacific Corporation,Caja con tapa organica (morado y verde),0,No,,0,78,0.0,0.00,0,Organic banana,12/31/2024,,,0,0,15.75,24.02,9.06,0.0,2.12,0.00,,Average Cost,0.00,0.0,0.0,29,29,0,78,0,,,
007PEAPP,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,APPBOSA,Bandeja Organica/Open-Top Case (Morado y verde),"1,800",Yes,Cases,45,0,20.4,"30,689.69","1,800",Organic banana,01/12/2022,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,"1,800",0,15.75,24.02,9.06,39.99,2.12,"71,985.34",APPBOSA,Specific Identification,"30,689.69",17.05,17.05,2,34,0,0,0,,Organic and Fairtrade Cavendish Banana 3lb,Banane Cavendish Biologique et Fairtrade 3lb
007MXCOL,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Coliman Pacific Corporation,Bandeja Organica/Open-Top Case (Morado y verde),45,Yes,Cases,45,"16,200",25.68,"149,237.53","5,400",Organic banana ,05/04/2023,Banano Cavendish Organico Fairtrade 3lb con Banda Costco Cost,Banano Cavendish Organico Fairtrade 3lb con Banda Costco Cost,0,0,15.75,24.02,9.06,39.99,2.12,"1,799.63",Coliman Pacific Corporation,Average Cost,"149,237.53",27.64,27.64,4,57,0,"16,245",45,,,
007ECSUR,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Surgesa S.A.,Bandeja Organica/Open-Top Case (Morado y verde),"2,700",Yes,,0,"1,800",21.05,"92,866.73","4,500",Organic banana,02/14/2023,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Banano Cavendish Organico Fairtrade 3lb con Banda Costco Cost,900,0,15.75,24.02,9.06,39.99,2.12,"107,978.01",Surgesa S.A.,Average Cost,"92,866.73",20.64,20.64,1,47,0,"3,600","1,800",,,
007ECPRI,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,PRIECOR S.A.,Bandeja Organica/Open-Top Case (Morado y verde),"3,600",Yes,Cases,45,900,20.4,"35,976.15","1,800",Organic banana,12/29/2022,Banano Cavendish Organico Fairtrade 3lb Banda Costco,Banano Cavendish Organico Fairtrade 3lb Banda Costco Cost,0,0,15.75,24.02,9.06,39.99,2.12,"143,964.00",PRIECOR S.A.,Specific Identification,"35,976.15",19.99,19.99,2,33,0,"4,500","3,600",,,
007ECORE,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,,Bandeja Organica/Open-Top Case (Morado y verde),0,No,,45,0,0.0,0.00,0,Organic banana,10/18/2024,,,0,0,15.75,24.02,9.06,0.0,2.12,0.00,,Average Cost,0.00,0.0,0.0,0,0,0,0,0,,,
007ECMAR,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Marplantis Organic Sustainable Agriculture,Caja con tapa organica (morado y verde),"9,900",Yes,Cases,45,"4,500",20.4,"219,359.38","10,800",Organic banana,01/18/2023,Banano Cavendish Organico Fairtrade 3lb Banda Costco,Banano Cavendish Organico Fairtrade 3lb Banda Costco,900,0,15.75,24.02,9.06,39.99,2.12,"395,919.36",Marplantis Organic Sustainable Agriculture,Specific Identification,"219,359.38",20.31,20.31,0,218,0,"13,500","9,000",,,
007ECLAT,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Latbio S.A.,Can Case,"1,800",Yes,Cases,45,900,0.0,"54,162.04","2,700",Organic Banana,01/26/2023,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Banano Cavendish Organico Fairtrade 3lb con Banda Costco Cost,0,0,15.75,24.02,9.06,39.99,2.12,"71,985.34",Latbio S.A.,Average Cost,"54,162.04",20.06,20.06,1,26,0,"2,700","1,800",,,
007ECHCM,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Hacienda Celia María C.A.,Bandeja Organica/Open-Top Case (Morado y verde),"3,600",Yes,Cases,0,900,20.59,"72,991.20","3,600",Organic banana,11/13/2023,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,0,0,15.75,24.02,9.06,0.0,2.12,0.00,Hacienda Celia María C.A.,Average Cost,"72,991.20",20.28,20.28,0,20,0,"4,500","3,600",,,
007ECELG,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,ASOGUABO,Bandeja Organica/Open-Top Case (Morado y verde),"16,200",Yes,Cases,45,"3,600",20.33,"354,871.88","17,100",Organic banana,12/12/2021,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,"1,800",0,15.75,24.02,9.06,39.99,2.12,"647,868.04",ASOGUABO,Specific Identification,"354,871.88",20.75,20.75,0,48,0,"18,000","14,400",Costco,Organic and Fairtrade Cavendish Banana 3lb,Banane Cavendish Biologique et Fairtrade 3lb
004NICOQ,Banano Cavendish Convencional Fairtrade con etiqueta,COQUIMBA,Caja con tapa convencional (naranja y azul),"1,920",Yes,Cases,48,0,14.66,"38,307.94","2,880",Convencional banana,12/13/2021,Banane Cavendish Equitable / Fairtrade banana,Banane Cavendish Equitable / Fairtrade banana,960,0,15.75,24.02,9.06,39.99,2.12,"76,784.36",COQUIMBA,Specific Identification,"38,307.94",13.3,13.3,0,182,0,960,960,Conventional,Conventional Fairtrade Cavendish Banana,Banane Cavendish Fairtrade Conventionelle
004MXCOL,Banano Cavendish Convencional Fairtrade con etiqueta,Coliman Pacific Corporation,Caja con tapa convencional (naranja y azul),624,Yes,Cases,48,0,21.49,"75,599.24","3,504",Convencional banana,12/12/2021,Banane Cavendish Equitable / Fairtrade banana,Banane Cavendish Equitable / Fairtrade banana,624,0,15.75,24.02,9.06,39.99,2.12,"24,954.92",Coliman Pacific Corporation,Specific Identification,"75,599.24",21.58,21.58,0,41,0,0,0,Conventional,Conventional Fairtrade Cavendish Banana,Banane Cavendish Fairtrade Conventionelle
004ECELG,Banano Cavendish Convencional Fairtrade con etiqueta,ASOGUABO,Caja con tapa convencional (naranja y azul),"3,072",Yes,Cases,48,0,15.77,"35,673.39","2,474",Convencional banana,12/12/2021,Banane Cavendish Equitable / Fairtrade banana,Banane Cavendish Equitable / Fairtrade banana,"1,920",0,15.75,24.02,9.06,39.99,2.12,"122,854.98",ASOGUABO,Specific Identification,"35,673.39",14.42,14.42,0,35,0,"1,152","1,152",Conventional,Conventional Fairtrade Cavendish Banana,Banane Cavendish Fairtrade Conventionelle
