Status,Number,Supplier,Due Date,Customer,Income,Expense,Profit,Customer:Account Number,Date,End Date,Employee,Progress (%)
Open,4637,Marplantis Organic Sustainable Agriculture,01/10/2025,,0.00,"18,337.05","-18,337.05",,01/10/2025,01/10/2025,David Melo,11
Open,4634,C.I. AGRICOLAS LAS FLORES S.A.S.,01/08/2025,,0.00,"19,545.98","-19,545.98",,01/08/2025,01/08/2025,David Melo,11
Open,4631,Latbio S.A.,01/08/2025,,0.00,0.00,0.00,,01/08/2025,01/08/2025,David Melo,11
Open,4630,Hacienda Celia María C.A.,01/08/2025,,0.00,"18,493.31","-18,493.31",,01/08/2025,01/08/2025,David Melo,11
Open,4633,C.I. AGRICOLAS LAS FLORES S.A.S.,01/08/2025,,0.00,"19,545.98","-19,545.98",,01/08/2025,01/08/2025,David Melo,11
Open,4632,ASOGUABO,01/08/2025,,0.00,"19,268.74","-19,268.74",,01/08/2025,01/08/2025,David Melo,11
Open,4626,ASOGUABO,01/08/2025,,0.00,"19,268.74","-19,268.74",,01/08/2025,01/08/2025,David Melo,11
Open,4625,ASOGUABO,01/08/2025,,0.00,"18,259.38","-18,259.38",,01/08/2025,01/08/2025,David Melo,11
Open,4635,ASOGUABO,01/08/2025,,0.00,"18,259.38","-18,259.38",,01/08/2025,01/08/2025,David Melo,11
Open,4629,ASOGUABO,01/08/2025,,0.00,"18,259.38","-18,259.38",,01/08/2025,01/08/2025,David Melo,11
Open,4624,ASOGUABO,01/08/2025,,0.00,"18,259.38","-18,259.38",,01/08/2025,01/08/2025,David Melo,11
Open,4627,PRIECOR S.A.,01/08/2025,,0.00,"18,324.36","-18,324.36",,01/08/2025,01/08/2025,David Melo,11
Open,4621,Surgesa S.A.,01/08/2025,,0.00,"18,909.18","-18,909.18",,01/08/2025,01/08/2025,David Melo,11
Open,4620,Surgesa S.A.,01/08/2025,,0.00,"18,909.18","-18,909.18",,01/08/2025,01/08/2025,David Melo,11
