Account Number,Name,Street and Number,City,State,Country,Zip code,Phone,Email,Contact First Name,Street and Number 1,Street and Number 2,Billing Street and Number,Billing City,Billing State,Billing Country,Billing Street and Number 1,Billing Street and Number 2,Entity ID,Inactive,Has Transactions,Creation Date,Has Open Transactions,Prepaid,Balance (CAD),Due Days,Payment Terms,Last Payment Amount (CAD),Last Payment Date
,Sprouts Farmers Market - Distribution Centers,5445 West Missouri Ave,Glendale,AZ,United States,85301,,AP@Sprouts.com,,5445 West Missouri Ave,,5445 West Missouri Ave,Glendale,AZ,United States,5445 West Missouri Ave,,SFMDC00098,No,No,01/08/2025,No,No,0.00,30,Net 30,0.00,
C00006/005,COSTCO BRANTFORD,175 ROY BOULEVARD,"BRANTFORD,",ON,Canada,N3R 7K1,,,,175 ROY BOULEVARD,,175 ROY BOULEVARD,"BRANTFORD,",ON,Canada,175 ROY BOULEVARD,,2455886941669,No,Yes,11/15/2024,No,No,0.00,30,Net 30,"3,360.97",12/09/2024
,Michelle Gubbells,,,,,,,,,,,,,,,,,,No,Yes,09/16/2024,No,No,0.00,30,Net 30,385.72,10/28/2024
,Maersk,,,,,,,,,,,,,,,,,,No,Yes,08/20/2024,No,No,0.00,30,Net 30,"1,852.84",08/15/2024
,Agence du revenu du Canada,,,,,,,,,,,,,,,,,,No,Yes,06/10/2024,Yes,No,"2,191.66",30,Net 30,"1,610.73",12/18/2024
,Revenu Québec,,,,,,,,,,,,,,,,,,No,Yes,06/10/2024,Yes,No,"3,155.84",30,Net 30,"1,130.63",12/17/2024
C00006,Costco Canada,"Devin Syrovatka  415 West Hunt Club Road,",Ottawa,ON,Canada,K2E 1C5,,,,Devin Syrovatka,"415 West Hunt Club Road,","Devin Syrovatka  415 West Hunt Club Road,",Ottawa,ON,Canada,Devin Syrovatka,"415 West Hunt Club Road,",,No,Yes,05/09/2024,No,No,0.00,30,Net 30,10.00,05/14/2024
,Holt Cargo Systems,,,,,,,,,,,,,,,,,,No,Yes,05/02/2024,No,No,0.00,30,Net 30,"1,427.77",05/15/2024
C00002,Charlies Los Angeles,5301 Rivergrade Road,Irwindale,CA,United States,91706,,,,5301 Rivergrade Road,,5301 Rivergrade Road,Irwindale,CA,United States,5301 Rivergrade Road,,,No,Yes,04/19/2024,No,No,0.00,20,Net 20,0.00,06/25/2024
C00009,Equifruit,,,,,,,,,,,,,,,,,,No,Yes,02/02/2024,No,No,0.00,30,Net 30,0.00,03/31/2024
C00003,Charlies Seattle,"5033 1st Ave S, Seattle 98134",Seattle,WA,United States,98134,,,,"5033 1st Ave S, Seattle 98134",,"5033 1st Ave S, Seattle 98134",Seattle,WA,United States,"5033 1st Ave S, Seattle 98134",,,No,Yes,01/29/2024,Yes,No,"284,691.04",20,Net 20,"27,293.76",12/02/2024
C00029,Wal-Mart,,Calgary,AB,Canada,,,,,,,,Calgary,AB,Canada,,,,No,No,01/17/2024,No,No,0.00,30,Net 30,0.00,
C00010,Fairtrade Labelling Organizations Inter. e.V.,Bonner Talweg 177,53129 Bonn,,Germany,,,,,Bonner Talweg 177,,Bonner Talweg 177,53129 Bonn,,Germany,Bonner Talweg 177,,,No,Yes,01/09/2024,Yes,No,"7,203.87",30,Net 30,"5,784.72",01/19/2024
C00018,Latbio S.A.,10 de agosto entre Pichincha y García Moreno,"Pasaje, El Oro.",,Ecuador,,,,,10 de agosto entre Pichincha y García Moreno,,10 de agosto entre Pichincha y García Moreno,"Pasaje, El Oro.",,Ecuador,10 de agosto entre Pichincha y García Moreno,,,No,Yes,01/04/2024,No,No,0.00,30,Net 30,"2,662.00",02/16/2024
C00011,Four Seasons,400 Wabash Road,Ephrata,PA,United States,17522,,,,400 Wabash Road,,400 Wabash Road,Ephrata,PA,United States,400 Wabash Road,,,No,Yes,11/01/2023,No,No,0.00,20,Net 20,"31,692.71",06/07/2024
C00006/001,Costco Etobicoke,2260 ISLINGTON AVE,ETOBICOKE,ON,Canada,M9W 3W8,,,,2260 ISLINGTON AVE,,2260 ISLINGTON AVE,ETOBICOKE,ON,Canada,2260 ISLINGTON AVE,,,No,Yes,10/30/2023,No,No,0.00,30,Net 30,"4,515.90",12/01/2023
C00026/003,Sobeys Winnipeg,1800 Inkster Blvd,Winnipeg,Manitoba,Canada,R2X 2Z5,,,,1800 Inkster Blvd,,1800 Inkster Blvd,Winnipeg,Manitoba,Canada,1800 Inkster Blvd,,,No,Yes,10/02/2023,No,No,0.00,30,Net 30,"16,644.10",11/15/2023
