Number,Entity,Transaction Date,Employee,Account Name,Bank Account,Reconciliation Date,Amount,AR Amount (CAD),Amount (CAD),Tax Amount,Withholding Tax Amount,Currency,Exchange Rate,Reverse Exchange Rate,Is Printed,Realized Amount (CAD),Gain/Loss (CAD),Attachments
00022387842025,Costco Varennes,01/10/2025,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 24,093.00","34,260.25","34,814.39",USD 0.00,USD 0.00,United States Dollar,0.69,1.45,No,"34,814.39",-554.14,No
00022387842025,Costco Vaughan Wet,01/10/2025,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 24,093.00","34,260.25","34,814.39",USD 0.00,USD 0.00,United States Dollar,0.69,1.45,No,"34,814.39",-554.14,No
00568366,Courchesne Larose,01/09/2025,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 24,643.20","34,722.27","35,584.78",USD 0.00,USD 0.00,United States Dollar,0.69,1.44,No,"35,584.78",-862.51,No
 00022330642025,Costco Vaughan Wet,01/09/2025,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 24,093.00","34,200.01","34,790.29",USD 0.00,USD 0.00,United States Dollar,0.69,1.44,No,"34,790.29",-590.28,No
KPI01603,Krown Produce  Fresh At Its Best™,01/09/2025,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 22,599.00","32,599.06","32,632.96",USD 0.00,USD 0.00,United States Dollar,0.69,1.44,No,"32,632.96",-33.90,Yes
22434,"Chiovitti Banana Co., Ltd",01/08/2025,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 112,387.20","161,435.20","162,287.12",USD 0.00,USD 0.00,United States Dollar,0.69,1.44,No,"162,287.12",-851.92,No
00022264602025,Costco Vaughan Wet,01/08/2025,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 48,186.00","68,279.56","69,580.58",USD 0.00,USD 0.00,United States Dollar,0.69,1.44,No,"69,580.58","-1,301.02",No
00022264602025,Costco Varennes,01/08/2025,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 24,093.00","34,139.78","34,790.29",USD 0.00,USD 0.00,United States Dollar,0.69,1.44,No,"34,790.29",-650.51,No
30704,Top Banana,01/07/2025,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 22,788.00","32,871.69","32,700.78",USD 0.00,USD 0.00,United States Dollar,0.7,1.44,No,"32,700.78",170.91,No
2000361309,Sobeys Quebec City,01/07/2025,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 20,571.84","28,985.73","29,520.59",USD 0.00,USD 0.00,United States Dollar,0.7,1.44,No,"29,520.59",-534.86,No
