Code,Name,Country,Subdivision,Air,Ocean,Rail,Road,Mail
USOLS,Nogales,United States,,No,No,No,Yes,No
USGPT,Gulf Port,United States,,No,Yes,No,No,No
TXA,Texas,United States,MD,No,No,No,Yes,No
TEX,Pharr,United States,,No,No,No,Yes,No
SEA,Seattle,United States,,No,No,No,Yes,No
PHL,Philadelphia,United States,PA,Yes,Yes,No,No,Yes
PHA,Pharr,United States,,No,No,No,Yes,No
NY,New York,United States,,No,No,No,No,No
NTD,Port Hueneme,United States,CA,Yes,Yes,Yes,Yes,No
NOGAL,Nogales,United States,,No,No,No,No,No
ILG,Port of Wilmington,United States,,No,Yes,No,No,No
HUE,Hueneme,United States,CA,No,Yes,No,No,No
HO,Houston,United States,,No,Yes,Yes,No,No
AZ,Nogales,United States,,No,No,No,Yes,No
SDG,San Diego,United States,,No,Yes,No,No,No
HOU,Houston,United States,,No,Yes,Yes,No,No
PAI,Paita,Peru,,No,Yes,No,No,No
CIO,CORINTO,Nicaragua,,No,Yes,No,No,No
CHI,Chinandega,Nicaragua,,No,Yes,No,Yes,No
PBO,Puerto Bolivar,Ecuador,O,No,Yes,No,No,No
GYE,Guayaquil,Ecuador,G,Yes,Yes,No,No,Yes
SMR,Santa Marta,Colombia,,Yes,Yes,No,No,No
VAN,Vancouver,Canada,,No,No,No,No,No
TOR,Toronto,Canada,ON,Yes,Yes,No,Yes,Yes
MTR,Montreal,Canada,QC,No,Yes,No,Yes,No
CAL,Calgary,Canada,,No,No,No,Yes,No
QBC,Quebec City,Canada,,No,No,No,Yes,No
HAL,Port of Halifax,Canada,,No,Yes,No,No,No
