Type,Code,Description,Account Name,Amount,Currency,COS Charge?
Inventory,008ECMAR-COST,Banano Cavendish Organico Fairtrade con Banda - 100,Coût du fruit,0.00,United States Dollar,No
Inventory,008ECMAR-INC,Banano Cavendish Organico Fairtrade con Banda - 100,Ventes,0.00,United States Dollar,No
Inventory,008ECLAT-COST,Banano Cavendish Organico Fairtrade con Banda - 100,Coût du fruit,0.00,United States Dollar,No
Inventory,008ECLAT-INC,Banano Cavendish Organico Fairtrade con Banda - 100,Ventes,0.00,United States Dollar,No
Inventory,008ECTRO-COST,Banano Cavendish Organico Fairtrade con Banda - 100,Coût du fruit,0.00,United States Dollar,No
Inventory,008ECTRO-INC,Banano Cavendish Organico Fairtrade con Banda - 100,Ventes,0.00,United States Dollar,No
Inventory,009ECTRO-COST,Banano Cavendish Convencional Fairtrade con etiqueta - 100,Coût du fruit,0.00,United States Dollar,No
Inventory,009ECTRO-INC,Banano Cavendish Convencional Fairtrade con etiqueta - 100,Ventes,0.00,United States Dollar,No
Inventory,007ECORE-COST,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Coût du fruit,0.00,United States Dollar,No
Inventory,007ECORE-INC,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Ventes,0.00,United States Dollar,No
Inventory,008ECELG-INC,Banano Cavendish Organico Fairtrade con Banda - 100,Ventes,0.00,United States Dollar,No
Inventory,008ECELG-COST,Banano Cavendish Organico Fairtrade con Banda - 100,Coût du fruit,0.00,United States Dollar,No
Inventory,009MXCOL-COST,Banano Cavendish Convencional Fairtrade con etiqueta - 100,Coût du fruit,0.00,United States Dollar,No
Inventory,009MXCOL-INC,Banano Cavendish Convencional Fairtrade con etiqueta - 100,Ventes,0.00,United States Dollar,No
Inventory,009ECELG-INC,Banano Cavendish Convencional Fairtrade con etiqueta - 100,Ventes,0.00,United States Dollar,No
Inventory,009ECELG-COST,Banano Cavendish Convencional Fairtrade con etiqueta - 100,Coût du fruit,0.00,United States Dollar,No
Inventory,008PEAPP-COST,Banano Cavendish Organico Fairtrade con Banda - 100,Coût du fruit,0.00,United States Dollar,No
Inventory,008PEAPP-INC,Banano Cavendish Organico Fairtrade con Banda - 100,Ventes,0.00,United States Dollar,No
Inventory,008MXCOL-COST,Banano Cavendish Organico Fairtrade con Banda - 100,Coût du fruit,19.90,United States Dollar,No
Inventory,008MXCOL-INC,Banano Cavendish Organico Fairtrade con Banda - 100,Ventes,0.00,United States Dollar,No
Other,CACLEARANCE,CA Clearance,CA Clearance,27.00,Canadian Dollar,No
Inventory,001CODAA-COST,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Coût du fruit,14.00,United States Dollar,No
Inventory,001CODAA-INC,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Ventes,0.00,United States Dollar,No
Other,CHACNESST,Charge CNESST,Charge CNESST,0.00,Canadian Dollar,No
Inventory,001ECLAT-INC,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Ventes,0.00,United States Dollar,No
Inventory,001ECLAT-COST,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Coût du fruit,0.00,United States Dollar,No
Other,FRAOPEPORCENTROAMERICANA,Frais Operadora Portuaria Centroamericana,Frais Operadora Portuaria Centroamericana,5.81,United States Dollar,No
Other,FRADELICUS,Frais de licence US,Frais de licence US,0.02,Canadian Dollar,No
Other,ASANA,Asana,Asana,0.00,Canadian Dollar,No
Other,SAPONE,Sap One,Sap One,0.00,Canadian Dollar,No
Other,FRAPAYCARGO,Frais PayCargo,Frais PayCargo,9.50,United States Dollar,No
Other,FRADEVOYQUAORIGINE,Frais de voyage qualité origine,Frais de voyage qualité origine,0.00,United States Dollar,No
Other,FRAECO,Frais Éco Entreprises,Frais Éco Entreprises,0.00,Canadian Dollar,No
Other,COMSPONSORSHIPS,Community Sponsorships,Community Sponsorships,0.00,Canadian Dollar,No
Other,TENDELIVU.S,Teniue de livre U.S,Tenue de livre U.S,0.00,Canadian Dollar,No
Other,FRADEGOUVERNANCE,Frais de gouvernance,Frais de gouvernance,0.00,Canadian Dollar,No
Other,CONFERENCES,Conférences,Conférences,0.00,United States Dollar,No
Inventory,007ECHCM-INC,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Ventes,0.00,United States Dollar,Yes
Inventory,007ECHCM-COST,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Coût du fruit,14.23,United States Dollar,Yes
Other,B2BBRABUIUSA,B2B Brand Building USA,B2B Brand Building USA,0.00,Canadian Dollar,No
Other,B2BBRABUICANADA,B2B Brand Building Canada,B2B Brand Building Canada,0.00,Canadian Dollar,No
Other,FRAQUA-COSUS,Frais qualité - Costco US,Frais qualité - Costco US,0.00,United States Dollar,No
Other,TIVTAGTEMLOGGER,Tive Tag Temperature Logger,Tive Tag Temperature Logger,25.00,United States Dollar,No
Other,FSVP,FSVP,FSVP,95.00,United States Dollar,No
Inventory,007MXCOL-INC,Banano Cavendish Organico Fairtrade 3lb con Banda Costco Cost,Ventes,0.00,United States Dollar,No
Inventory,007MXCOL-COST,Banano Cavendish Organico Fairtrade 3lb con Banda Costco Cost,Coût du fruit,17.75,United States Dollar,No
Other,FRAOPC,Frais OPC,Frais  OPC,0.00,United States Dollar,No
Other,STOPALLETS,Storage pallets,Storage pallets,0.00,Canadian Dollar,No
Inventory,007ECSUR-COST,Banano Cavendish Organico Fairtrade 3lb con Banda Costco Cost,Coût du fruit,14.55,United States Dollar,No
Inventory,007ECSUR-INC,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Ventes,0.00,United States Dollar,No
Inventory,007ECLAT-COST,Banano Cavendish Organico Fairtrade 3lb con Banda Costco Cost,Coût du fruit,0.00,United States Dollar,No
Inventory,007ECLAT-INC,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Ventes,0.00,United States Dollar,No
Inventory,007ECMAR-INC,Banano Cavendish Organico Fairtrade 3lb Banda Costco,Ventes,0.00,United States Dollar,No
Inventory,007ECMAR-COST,Banano Cavendish Organico Fairtrade 3lb Banda Costco,Coût du fruit,14.10,United States Dollar,No
Other,SUBSCRIPTIONS,Subscriptions,Subscriptions,0.00,Canadian Dollar,No
Other,COMSPOUSA,Community Sponsorships USA,Community Sponsorships USA,0.00,Canadian Dollar,No
Other,B2CBRABUIUSA,B2C Brand Building USA,B2C Brand Building USA,0.00,Canadian Dollar,No
