Status,Number,Seller,Carrier,Amount,Quantity,Invoiced,Departure Date,Arrival Date,Port of Arrival,Shipping Date,ISF,Amount (CAD),Unbilled Balance (CAD),Unpaid Balance (CAD),Temperature,Job:Expense,Job:Income,Received Quantity,Date,Employee,Job,Weight (lb),Volume (ft³),Approved Date,Payment Terms,Incoterms,Seller Address,Exchange Rate,Reverse Exchange Rate,Paid,Amt. Before Tax (CAD),Items Amount (CAD),Pallets,Ventilation,Container#,Bill of Lading,Canadian Customs,Job:Due Date,Cornerboards Packaging,Port of Loading,Customs Clearance
Open,4637,Marplantis Organic Sustainable Agriculture,Maersk,USD 12690.00,900,No,1/18/25,2/3/25,Philadelphia,2/13/25,<none>,"18,337.05","18,337.05",0,13.9,"18,337.05",0,0.0,1/10/25,David Melo,4637.0,"35,992.67","1,906.99",,,FOB,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",0.69,1.45,No,"18,337.05","18,337.05",Walk Global/Escobar,25.0,,MAEU249009979,<none>,1/10/25,Plastico,Puerto Bolivar,
Open,4634,C.I. AGRICOLAS LAS FLORES S.A.S.,Dole Shipping,USD 13536.00,960,No,1/25/25,2/2/25,Wilmington,2/10/25,<none>,"19,545.98","19,545.98",0,13.9,"19,545.98",0,0.0,1/8/25,David Melo,4634.0,"38,392.18","2,034.12",,,FOB,"Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",0.69,1.44,No,"19,545.98","19,545.98",Chep,25.0,,,<none>,1/8/25,Carton,Santa Marta,
Open,4631,Latbio S.A.,Maersk,USD 0.00,900,No,1/18/25,2/3/25,Philadelphia,2/12/25,<none>,0,0,0,13.9,0,0,0.0,1/8/25,David Melo,4631.0,"35,992.67","1,906.99",,Net 10,FOB,"10 de agosto entre Pichincha y García Moreno, Pasaje, El Oro Ecuador",0.69,1.44,No,0,0,Walk Global/Escobar,25.0,,MAEU248914945,<none>,1/8/25,Plastico,Puerto Bolivar,
Open,4630,Hacienda Celia María C.A.,Maersk,USD 12807.00,900,No,1/18/25,2/3/25,Philadelphia,2/11/25,<none>,"18,493.31","18,493.31",0,13.9,"18,493.31",0,0.0,1/8/25,David Melo,4630.0,0,"1,908.00",,,FOB,"Luque 127 y Pedro Carbo, Guayaquil, Ecuador",0.69,1.44,No,"18,493.31","18,493.31",Walk Global/Escobar,25.0,,MAEU248914871,<none>,1/8/25,Plastico,Puerto Bolivar,
Open,4633,C.I. AGRICOLAS LAS FLORES S.A.S.,Seaboard,USD 13536.00,960,No,1/25/25,2/4/25,Philadelphia,2/12/25,<none>,"19,545.98","19,545.98",0,13.9,"19,545.98",0,0.0,1/8/25,David Melo,4633.0,"38,392.18","2,034.12",,,FOB,"Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",0.69,1.44,No,"19,545.98","19,545.98",Chep,25.0,,,<none>,1/8/25,Carton,Santa Marta,
Open,4632,ASOGUABO,Maersk,USD 13344.00,960,No,1/18/25,2/3/25,Philadelphia,2/10/25,<none>,"19,268.74","19,268.74",0,13.9,"19,268.74",0,0.0,1/8/25,David Melo,4632.0,"38,392.18","2,034.12",,Due on receipt,FOB,"VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",0.69,1.44,No,"19,268.74","19,268.74",Tipo CHEP,25.0,,MAEU248915161,<none>,1/8/25,Plastico reciclado,Puerto Bolivar,
Open,4626,ASOGUABO,COSCO Shipping,USD 13344.00,960,No,1/18/25,1/29/25,Philadelphia,2/6/25,<none>,"19,268.74","19,268.74",0,13.9,"19,268.74",0,0.0,1/8/25,David Melo,4626.0,"38,392.18","2,034.12",,Due on receipt,FOB,"VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",0.69,1.44,No,"19,268.74","19,268.74",Walk Global/Escobar,25.0,,,<none>,1/8/25,Plastico reciclado,Guayaquil,
Open,4625,ASOGUABO,COSCO Shipping,USD 12645.00,900,No,1/18/25,1/29/25,Philadelphia,2/10/25,<none>,"18,259.38","18,259.38",0,13.9,"18,259.38",0,0.0,1/8/25,David Melo,4625.0,"35,992.67","1,906.99",,Due on receipt,FOB,"VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",0.69,1.44,No,"18,259.38","18,259.38",Walk Global/Escobar,25.0,,,<none>,1/8/25,Plastico,Guayaquil,
Open,4635,ASOGUABO,Dole Shipping,USD 12645.00,900,No,1/17/25,1/26/25,San Diego,2/10/25,<none>,"18,259.38","18,259.38",0,13.9,"18,259.38",0,0.0,1/8/25,David Melo,4635.0,"35,992.67","1,906.99",,Due on receipt,FOB,"VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",0.69,1.44,No,"18,259.38","18,259.38",Walk Global/Escobar,25.0,,,<none>,1/8/25,Plastico reciclado,Guayaquil,
Open,4629,ASOGUABO,Maersk,USD 12645.00,900,No,1/18/25,2/3/25,Philadelphia,2/7/25,<none>,"18,259.38","18,259.38",0,13.9,"18,259.38",0,0.0,1/8/25,David Melo,4629.0,"35,992.67","1,906.99",,Due on receipt,FOB,"VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",0.69,1.44,No,"18,259.38","18,259.38",Walk Global/Escobar,25.0,,MAEU248961776,<none>,1/8/25,Plastico reciclado,Puerto Bolivar,
