Status,Sales Order,Line No.,Description,Part Number,Quantity,Price,Amount,Unit,Amt.+Tax
Loaded,4536,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECMAR,900,0.0,0.00,Cases,0.00
Loaded,4533,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECSUR,900,26.77,"24,093.00",,"24,093.00"
Loaded,4565,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007MXCOL,855,26.77,"22,888.35",Cases,"22,888.35"
Loaded,4543,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007MXCOL,900,26.77,"24,093.00",Cases,"24,093.00"
Loaded,4537,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECSUR,900,26.77,"24,093.00",,"24,093.00"
Loaded,4532,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECMAR,900,26.77,"24,093.00",Cases,"24,093.00"
Loaded,4564,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007MXCOL,900,26.77,"24,093.00",Cases,"24,093.00"
Loaded,4572,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECELG,900,25.11,"22,599.00",Cases,"22,599.00"
Loaded,4575QC,1,Banano Cavendish Organico Fairtrade con banda,001ECELG,240,23.81,"5,714.40",Cases,"5,714.40"
Loaded,4575BCH,1,Banano Cavendish Organico Fairtrade con banda,001ECELG,720,23.81,"17,143.20",Cases,"17,143.20"
Loaded,4550,1,Banano Cavendish Organico Fairtrade con banda,001COCIA,960,25.67,"24,643.20",Cases,"24,643.20"
Loaded,4560,2,Banano Cavendish Organico Fairtrade con banda,001COCIA,960,24.36,"23,385.60",Cases,"23,385.60"
Loaded,4527CH,1,Banano Cavendish Organico Fairtrade con banda,001MXCOL,720,28.02,"20,174.40",Cases,"20,174.40"
Loaded,4527S,1,Banano Cavendish Organico Fairtrade con Banda SPTS,008MXCOL,48,0.0,0.00,,0.00
Loaded,4530QC,1,Banano Cavendish Organico Fairtrade con banda,001COCIA,240,23.81,"5,714.40",Cases,"5,714.40"
Loaded,4530BCH,1,Banano Cavendish Organico Fairtrade con banda,001COCIA,720,23.81,"17,143.20",Cases,"17,143.20"
Loaded,4562,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECELG,900,26.77,"24,093.00",Cases,"24,093.00"
Loaded,4500,1,Banano Cavendish Organico Fairtrade con banda,001PEAPP,960,24.36,"23,385.60",Cases,"23,385.60"
Loaded,4526,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECLAT,900,26.77,"24,093.00",Cases,"24,093.00"
Loaded,4489,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECPRI,900,25.32,"22,788.00",Cases,"22,788.00"
Loaded,4528,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECMAR,900,26.77,"24,093.00",Cases,"24,093.00"
Loaded,4545,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECELG,900,26.77,"24,093.00",Cases,"24,093.00"
Delivered,4462,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECPRI,900,25.11,"22,599.00",Cases,"22,599.00"
Loaded,3990,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECMAR,900,26.77,"24,093.00",Cases,"24,093.00"
Loaded,4502,1,Banano Cavendish Organico Fairtrade con banda,001COCIA,960,25.67,"24,643.20",Cases,"24,643.20"
Loaded,4506,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECMAR,900,26.77,"24,093.00",Cases,"24,093.00"
Loaded,4542,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007MXCOL,900,25.11,"22,599.00",Cases,"22,599.00"
Loaded,4505,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECMAR,900,26.77,"24,093.00",Cases,"24,093.00"
Loaded,4531,1,Banano Cavendish Organico Fairtrade con banda,001COCIA,960,24.36,"23,385.60",Cases,"23,385.60"
Delivered,4504,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECMAR,900,26.77,"24,093.00",Cases,"24,093.00"
Loaded,4511,1,Banano Cavendish Organico Fairtrade con banda,001MXCOL,720,28.02,"20,174.40",Cases,"20,174.40"
Loaded,4498,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECHCM,900,26.77,"24,093.00",Cases,"24,093.00"
Delivered,4563,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007MXCOL,900,26.77,"24,093.00",Cases,"24,093.00"
Delivered,4493,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECELG,900,26.77,"24,093.00",Cases,"24,093.00"
Delivered,4521,1,Banano Cavendish Convencional Fairtrade con etiqueta,004ECELG,960,22.21,"21,321.60",Cases,"21,321.60"
Delivered,4492,2,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECELG,900,26.77,"24,093.00",Cases,"24,093.00"
Delivered,4509,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECSUR,900,25.32,"22,788.00",,"22,788.00"
Delivered,4541,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007MXCOL,900,25.11,"22,599.00",Cases,"22,599.00"
Delivered,4494,2,Banano Cavendish Organico Fairtrade con banda,001ECELG,768,24.36,"18,708.48",Cases,"18,708.48"
Delivered,4494,3,Banano Cavendish Convencional Fairtrade con etiqueta,004ECELG,192,22.21,"4,264.32",Cases,"4,264.32"
Delivered,4496,1,Banano Cavendish Organico Fairtrade con banda,001ECELG,960,24.36,"23,385.60",Cases,"23,385.60"
Delivered,4514,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007MXCOL,900,25.11,"22,599.00",Cases,"22,599.00"
Delivered,4588,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007MXCOL,900,26.77,"24,093.00",Cases,"24,093.00"
Delivered,4501QC,1,Banano Cavendish Organico Fairtrade con banda,001COCIA,288,23.81,"6,857.28",Cases,"6,857.28"
Delivered,4501BCH,1,Banano Cavendish Organico Fairtrade con banda,001COCIA,672,23.81,"16,000.32",Cases,"16,000.32"
Loaded,4503,1,Banano Cavendish Organico Fairtrade con banda,001CODAA,960,24.36,"23,385.60",,"23,385.60"
Delivered,4491,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECELG,900,26.77,"24,093.00",Cases,"24,093.00"
Delivered,4499,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECLAT,900,25.32,"22,788.00",Cases,"22,788.00"
Delivered,4450,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECSUR,900,26.77,"24,093.00",,"24,093.00"
Delivered,4490,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECELG,900,26.77,"24,093.00",Cases,"24,093.00"
Delivered,4495,1,Banano Cavendish Convencional Fairtrade con etiqueta,004ECELG,960,22.21,"21,321.60",Cases,"21,321.60"
Delivered,4540,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007MXCOL,900,26.77,"24,093.00",Cases,"24,093.00"
Delivered,4451,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECMAR,900,26.77,"24,093.00",Cases,"24,093.00"
Delivered,4461,1,Banano Cavendish Organico Fairtrade con banda,001ECMAR,960,24.36,"23,385.60",Casa,"23,385.60"
Delivered,4477,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECMAR,900,26.77,"24,093.00",Cases,"24,093.00"
Delivered,4453,1,Banano Cavendish Organico Fairtrade con banda,001ECMAR,960,25.67,"24,643.20",Casa,"24,643.20"
Delivered,4482QC,1,Banano Cavendish Organico Fairtrade con banda,001ECMAR,288,23.81,"6,857.28",Casa,"6,857.28"
Delivered,4482BCH,1,Banano Cavendish Organico Fairtrade con banda,001ECMAR,672,23.81,"16,000.32",Casa,"16,000.32"
Delivered,4497,1,Banano Cavendish Convencional Fairtrade con etiqueta,004ECELG,960,22.21,"21,321.60",Cases,"21,321.60"
Delivered,4481,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECSUR,900,26.77,"24,093.00",,"24,093.00"
Delivered,4479,1,Banano Cavendish Organico Fairtrade con banda,001MXCOL,720,28.02,"20,174.40",Cases,"20,174.40"
Delivered,4480,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECSUR,900,26.77,"24,093.00",,"24,093.00"
Delivered,4478,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECMAR,900,26.77,"24,093.00",Cases,"24,093.00"
Delivered,4474QC,1,Banano Cavendish Organico Fairtrade con banda,001COCIA,288,23.81,"6,857.28",Cases,"6,857.28"
Delivered,4474BCH,1,Banano Cavendish Organico Fairtrade con banda,001COCIA,672,23.81,"16,000.32",Cases,"16,000.32"
Delivered,4539,1,Banano Cavendish Organico Fairtrade con banda,001MXCOL,960,24.36,"23,385.60",Cases,"23,385.60"
Delivered,4470,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007MXCOL,900,25.11,"22,599.00",Cases,"22,599.00"
Loaded,4510,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECSUR,900,26.77,"24,093.00",,"24,093.00"
Loaded,4517,1,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,007ECELG,900,26.77,"24,093.00",Cases,"24,093.00"
