Status,Type,Waybill Number,Date,Shipper,Consignee,Carrier,Origin Port,Destination Port,Pieces,Weight (lb),Volume (ft³),Name,Layout,Departure Date,Arrival Date,System Creation Date,Intermediate/Broker,Executed Place,Executed By,Booking #,Forwarding Agent,Destination Agent,Origin Country,Destination Country,Direction,Master Waybill,Is Liquidated,Transactions Balance (CAD),General Order Date,Income (CAD),Expense (CAD),Profit (CAD),Cost PP. (CAD),Cost Col. (CAD),Inc. PP (CAD),Consolidation Income (CAD),Consolidation Expense (CAD),Consolidation Profit (CAD),Consolidation Real Profit (CAD),Folder,Volume weight (Vlb),Chargeable Weight (lb),Value,Description,Container Number,Deliver To,Modes of Transportation,Has Transactions,Vessel,Amount of Containers,40' Containers,45' Containers,Commodities Description,Last Event,Place of Delivery,Importer,Billing Client,Shipper Address,Consignee Address,Notify Party Address,Forwarding Agent Address,Destination Agent Address,Deliver To Address,Shipper Name & Address,Consignee Name & Address,Warehouse Receipts,Temperature Setup,Generator Setup,TEU,FEU,Shipper Name & Address & Phone,Consignee Name & Address & Phone,Dimensions,Cut Off Date,Spotting Date,Package,House count,On-Carriage by,Documentation Cut-off Date,IT Date,Container Tracking,ETA Update,Terminal,x dock date
Received,Ocean,DOLQSMRD4772WL,01/10/2025,C.I. AGRICOLAS LAS FLORES S.A.S.,United Safety Agents,Dole Shipping,Port of Wilmington,Port of Wilmington,1,"3,747.86","2,359.59",4595,Straight,01/11/2025,01/19/2025,01/10/2025,,Montréal,Claudia Ramirez,,DOLE SHIPPING EAST COAST,"Equifruit, Inc.",United States,United States,Incoming,DOLQSMRD4772WL,No,0.00,01/25/2025,0.00,"19,579.82","-19,579.82","19,579.82",0.00,0.00,0.00,"19,579.82","-19,579.82",0.00,Incoming Shipments\2025\January,"24,562.48","24,562.48","19,579.82",Banano Cavendish Organico Fairtrade con banda,,United Safety Agents,"Vessel, Containerized",No,Robin 2 -9399739,1,1,0,,Arrived at destination,Montreal,,,"Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",,"1500 Bd de Montarville, Boucherville, QC J4B 5Y3. Canada","1 Hausel Road, Wilmington, DE 19801. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"C.I. AGRICOLAS LAS FLORES S.A.S.
Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia","United Safety Agents
",4595,,No,2,1.0,"C.I. AGRICOLAS LAS FLORES S.A.S.
Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia
3137453982","United Safety Agents
",1x459.45x90.16x98.43in,01/10/2025,01/10/2025,CNT,0,,,,Yes,,,
Received,Ocean,DOLQSMRD4771WL,01/10/2025,C.I. AGRICOLAS LAS FLORES S.A.S.,United Safety Agents,Dole Shipping,Santa Marta,Port of Wilmington,1,"3,747.86","2,359.59",4593,Straight,01/11/2025,01/19/2025,01/10/2025,,Montréal,Claudia Ramirez,,DOLE SHIPPING EAST COAST,"Equifruit, Inc.",Colombia,United States,Incoming,DOLQSMRD4771WL,No,0.00,01/25/2025,0.00,"19,579.82","-19,579.82","19,579.82",0.00,0.00,0.00,"19,579.82","-19,579.82",0.00,Incoming Shipments\2025\January,"24,562.48","24,562.48","19,579.82",Banano Cavendish Organico Fairtrade con banda,,United Safety Agents,"Vessel, Containerized",No,Robin 29399739,1,1,0,,Arrived at destination,Montreal,,,"Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",,"1500 Bd de Montarville, Boucherville, QC J4B 5Y3. Canada","1 Hausel Road, Wilmington, DE 19801. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"C.I. AGRICOLAS LAS FLORES S.A.S.
Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia","United Safety Agents
",4593,,No,2,1.0,"C.I. AGRICOLAS LAS FLORES S.A.S.
Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia
3137453982","United Safety Agents
",1x459.45x90.16x98.43in,01/10/2025,01/10/2025,CNT,0,,,,Yes,,,
Received,Ground,,01/09/2025,Coliman Pacific Corporation,"Equifruit, Inc.",CTX,Nogales,Calgary,1,"3,747.86","2,359.59",4543,Straight,01/13/2025,01/15/2025,01/09/2025,,Montréal,Claudia Ramirez,,,"Equifruit, Inc.",United States,Canada,Incoming,,No,0.00,01/24/2025,0.00,"25,602.12","-25,602.12","25,602.12",0.00,0.00,0.00,"25,602.12","-25,602.12",0.00,Incoming Shipments\2025\January,"24,562.48","24,562.48","25,123.41",Banano Cavendish Organico Fairtrade 3lb con Banda Costco,,"Equifruit, Inc.","Truck, Containerized",No,,1,1,0,,Arrived at destination,,,,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","4923 47th Street SE,, Calgary, AB T2B 3S5. Canada",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","Coliman Pacific Corporation
10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States","Equifruit, Inc.
5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",4543,,No,2,1.0,"Coliman Pacific Corporation
10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States
480-598-8525","Equifruit, Inc.
5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",1x459.45x90.16x98.43in,01/09/2025,01/09/2025,CNT,0,,,,Yes,,,
Received,Ocean,ZIMUGYL00014121,01/08/2025,Marplantis Organic Sustainable Agriculture,"Equifruit, Inc.",ZIM,Guayaquil,Port of Halifax,1,"3,747.86","2,359.59",4606,Straight,01/12/2025,01/28/2025,01/08/2025,,Montréal,Claudia Ramirez,,PSA HALIFAX FAIRVIEW COVE,"Equifruit, Inc.",Ecuador,Canada,Incoming,ZIMUGYL00014121,No,0.00,01/23/2025,0.00,"18,290.99","-18,290.99","18,290.99",0.00,0.00,0.00,"18,290.99","-18,290.99",0.00,Incoming Shipments\2025\January,"24,562.48","24,562.48","18,290.99",Banano Cavendish Organico Fairtrade 3lb con Banda Costco,,"Equifruit, Inc.","Vessel, Containerized",No,OPHELIA 9765586,1,1,0,,Arrived at destination,Montreal,,,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","6708 Bayne St, Halifax, NS B3K 0H1. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","Marplantis Organic Sustainable Agriculture
DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador","Equifruit, Inc.
5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",4606,,No,2,1.0,"Marplantis Organic Sustainable Agriculture
DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador
(593) 042 388457","Equifruit, Inc.
5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",1x459.45x90.16x98.43in,01/08/2025,01/08/2025,CNT,0,,,,Yes,,,
Received,Ocean,ZIMUGYL00014176,01/08/2025,Marplantis Organic Sustainable Agriculture,United Safety Agents,ZIM,Guayaquil,Philadelphia,1,"3,747.86","2,359.59",4617,Straight,01/12/2025,01/24/2025,01/08/2025,,Montréal,Claudia Ramirez,,DELAWARE AVENUE ENTERPRISES INC,"Equifruit, Inc.",Ecuador,United States,Incoming,ZIMUGYL00014176,No,0.00,01/23/2025,0.00,"18,210.15","-18,210.15","18,210.15",0.00,0.00,0.00,"18,210.15","-18,210.15",0.00,Incoming Shipments\2025\January,"24,562.48","24,562.48","18,210.15",Banano Cavendish Organico Fairtrade 3lb con Banda Costco,,United Safety Agents,"Vessel, Containerized",No,OPHELIA 9765586,1,1,0,,Arrived at destination,Toronto,,,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,"26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"Marplantis Organic Sustainable Agriculture
DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador","United Safety Agents
",4617,,No,2,1.0,"Marplantis Organic Sustainable Agriculture
DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador
(593) 042 388457","United Safety Agents
",1x459.45x90.16x98.43in,01/08/2025,01/08/2025,CNT,0,,,,Yes,,,
Received,Ocean,ZIMUGYL00014087,01/07/2025,Marplantis Organic Sustainable Agriculture,"Equifruit, Inc.",ZIM,Guayaquil,Port of Halifax,1,"3,747.86","2,359.59",4597,Straight,01/12/2025,01/28/2025,01/07/2025,,Montréal,Claudia Ramirez,,PSA HALIFAX FAIRVIEW COVE,"Equifruit, Inc.",Ecuador,Canada,Incoming,ZIMUGYL00014087,No,0.00,01/22/2025,0.00,"18,356.09","-18,356.09","18,356.09",0.00,0.00,0.00,"18,356.09","-18,356.09",0.00,Incoming Shipments\2025\January,"24,562.48","24,562.48","18,356.09",Banano Cavendish Organico Fairtrade 3lb con Banda Costco,,"Equifruit, Inc.","Vessel, Containerized",No,OPHELIA 9765586,1,1,0,,Arrived at destination,Montreal,,,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","6708 Bayne St, Halifax, NS B3K 0H1. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","Marplantis Organic Sustainable Agriculture
DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador","Equifruit, Inc.
5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",4597,,No,2,1.0,"Marplantis Organic Sustainable Agriculture
DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador
(593) 042 388457","Equifruit, Inc.
5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",1x459.45x90.16x98.43in,01/07/2025,01/07/2025,CNT,0,,,,Yes,,,
Received,Ocean,ZIMUGYL00014084,01/07/2025,Marplantis Organic Sustainable Agriculture,United Safety Agents,ZIM,Guayaquil,Port of Halifax,1,"3,747.86","2,359.59",4596,Straight,01/12/2025,01/28/2025,01/07/2025,,Montréal,Claudia Ramirez,,PSA HALIFAX FAIRVIEW COVE,"Equifruit, Inc.",Ecuador,Canada,Incoming,ZIMUGYL00014084,No,0.00,01/22/2025,0.00,"18,356.09","-18,356.09","18,356.09",0.00,0.00,0.00,"18,356.09","-18,356.09",0.00,Incoming Shipments\2025\January,"24,562.48","24,562.48","18,356.09",Banano Cavendish Organico Fairtrade 3lb con Banda Costco,,United Safety Agents,"Vessel, Containerized",No,OPHELIA 9765586,1,1,0,,Arrived at destination,Montreal,,,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,"9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","6708 Bayne St, Halifax, NS B3K 0H1. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"Marplantis Organic Sustainable Agriculture
DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador","United Safety Agents
",4596,,No,2,1.0,"Marplantis Organic Sustainable Agriculture
DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador
(593) 042 388457","United Safety Agents
",1x459.45x90.16x98.43in,01/07/2025,01/07/2025,CNT,0,,,,Yes,,,
Received,Ocean,MAEU248855733,01/07/2025,Marplantis Organic Sustainable Agriculture,United Safety Agents,Maersk,Puerto Bolivar,Philadelphia,1,"3,747.86","2,359.59",4619,Straight,01/11/2025,01/27/2025,01/07/2025,,Montréal,Claudia Ramirez,,DELAWARE AVENUE ENTERPRISES INC,"Equifruit, Inc.",Ecuador,United States,Incoming,MAEU248855733,No,0.00,01/22/2025,0.00,"19,217.52","-19,217.52","19,217.52",0.00,0.00,0.00,"19,217.52","-19,217.52",0.00,Incoming Shipments\2025\January,"24,562.48","24,562.48","19,217.52",Banano Cavendish Organico Fairtrade con banda,,United Safety Agents,"Vessel, Containerized",No,JPO Libra 9297840 - Polar Costa Rica 9786786,1,1,0,,Arrived at destination,Montreal,,,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,"9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"Marplantis Organic Sustainable Agriculture
DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador","United Safety Agents
",4619,,No,2,1.0,"Marplantis Organic Sustainable Agriculture
DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador
(593) 042 388457","United Safety Agents
",1x459.45x90.16x98.43in,01/07/2025,01/07/2025,CNT,0,,,,Yes,,,
Received,Ocean,MAEU248855719,01/07/2025,Marplantis Organic Sustainable Agriculture,United Safety Agents,Maersk,Puerto Bolivar,Philadelphia,1,"3,747.86","2,359.59",4618,Straight,01/11/2025,01/27/2025,01/07/2025,,Montréal,Claudia Ramirez,,DELAWARE AVENUE ENTERPRISES INC,"Equifruit, Inc.",Ecuador,United States,Incoming,MAEU248855719,No,0.00,01/22/2025,0.00,"19,217.52","-19,217.52","19,217.52",0.00,0.00,0.00,"19,217.52","-19,217.52",0.00,Incoming Shipments\2025\January,"24,562.48","24,562.48","19,217.52",Banano Cavendish Organico Fairtrade con banda,,United Safety Agents,"Vessel, Containerized",No,JPO Libra 9297840 - Polar Costa Rica 9786786,1,1,0,,Arrived at destination,Toronto,,,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,"26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"Marplantis Organic Sustainable Agriculture
DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador","United Safety Agents
",4618,,No,2,1.0,"Marplantis Organic Sustainable Agriculture
DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador
(593) 042 388457","United Safety Agents
",1x459.45x90.16x98.43in,01/07/2025,01/07/2025,CNT,0,,,,Yes,,,
Received,Ocean,MAEU248854769,01/07/2025,Marplantis Organic Sustainable Agriculture,United Safety Agents,Maersk,Puerto Bolivar,Philadelphia,1,"3,747.86","2,359.59",4616,Straight,01/11/2025,01/27/2025,01/07/2025,,Montréal,Claudia Ramirez,,DELAWARE AVENUE ENTERPRISES INC,"Equifruit, Inc.",Ecuador,United States,Incoming,MAEU248854769,No,0.00,01/22/2025,0.00,"18,210.15","-18,210.15","18,210.15",0.00,0.00,0.00,"18,210.15","-18,210.15",0.00,Incoming Shipments\2025\January,"24,562.48","24,562.48","18,210.15",Banano Cavendish Organico Fairtrade 3lb con Banda Costco,,United Safety Agents,"Vessel, Containerized",No,JPO Libra 9297840 - Polar Costa Rica 9786786,1,1,0,,Arrived at destination,Toronto,,,"DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,"26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"Marplantis Organic Sustainable Agriculture
DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador","United Safety Agents
",4616,,No,2,1.0,"Marplantis Organic Sustainable Agriculture
DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador
(593) 042 388457","United Safety Agents
",1x459.45x90.16x98.43in,01/07/2025,01/07/2025,CNT,0,,,,Yes,,,
