Status,Number,Date,Shipper,Consignee,Pieces,Weight (lb),Volume (ft³),Employee,Destination Agent,Volume weight (Vlb),Chargeable Weight (lb),Value,Method,Destination Port,Destination Country,Origin Port,Origin Country,Modes of Transportation,Commodities Description,Issued By Address,Destination Agent Address,Shipper Address,Consignee Address,Pieces On Hand,Weight On Hand (lb),Volume On Hand (ft³),Volume Weight On Hand (Vlb),Value On Hand,Has Understock,Understock Pieces
On Hand,4595,01/10/2025,C.I. AGRICOLAS LAS FLORES S.A.S.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DOLE SHIPPING EAST COAST,"24,562.48","3,747.86","19,579.82",Ocean,Port of Wilmington,United States,Port of Wilmington,United States,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1 Hausel Road, Wilmington, DE 19801. United States","Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",,1,"3,747.86","2,359.59","24,562.48","19,579.82",No,0
On Hand,4593,01/10/2025,C.I. AGRICOLAS LAS FLORES S.A.S.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DOLE SHIPPING EAST COAST,"24,562.48","3,747.86","19,579.82",Ocean,Port of Wilmington,United States,Santa Marta,Colombia,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1 Hausel Road, Wilmington, DE 19801. United States","Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",,1,"3,747.86","2,359.59","24,562.48","19,579.82",No,0
In Process,4543,01/09/2025,Coliman Pacific Corporation,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,,"24,562.48","24,562.48","25,123.41",Ground,Calgary,Canada,Nogales,United States,"Truck, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
On Hand,4606,01/08/2025,Marplantis Organic Sustainable Agriculture,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,PSA HALIFAX FAIRVIEW COVE,"24,562.48","3,747.86","18,290.99",Ocean,Port of Halifax,Canada,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","6708 Bayne St, Halifax, NS B3K 0H1. Canada","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",1,"3,747.86","2,359.59","24,562.48","18,290.99",No,0
On Hand,4617,01/08/2025,Marplantis Organic Sustainable Agriculture,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","18,210.15",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,210.15",No,0
On Hand,4597,01/07/2025,Marplantis Organic Sustainable Agriculture,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,PSA HALIFAX FAIRVIEW COVE,"24,562.48","3,747.86","18,356.09",Ocean,Port of Halifax,Canada,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","6708 Bayne St, Halifax, NS B3K 0H1. Canada","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",1,"3,747.86","2,359.59","24,562.48","18,356.09",No,0
On Hand,4596,01/07/2025,Marplantis Organic Sustainable Agriculture,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,PSA HALIFAX FAIRVIEW COVE,"24,562.48","3,747.86","18,356.09",Ocean,Port of Halifax,Canada,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","6708 Bayne St, Halifax, NS B3K 0H1. Canada","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,356.09",No,0
On Hand,4619,01/07/2025,Marplantis Organic Sustainable Agriculture,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","19,217.52",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,1,"3,747.86","2,359.59","24,562.48","19,217.52",No,0
On Hand,4618,01/07/2025,Marplantis Organic Sustainable Agriculture,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","19,217.52",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,1,"3,747.86","2,359.59","24,562.48","19,217.52",No,0
On Hand,4616,01/07/2025,Marplantis Organic Sustainable Agriculture,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","18,210.15",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,210.15",No,0
