job,status,purchase_order_container#,pieces,contained_item,purchase_order_harvest_date,departure_date,arrival_date,description,model,item_definition_categories,part_number,purchase_order_pallets,unitary_value,length_in,height_in,width_in,weight_lb,volume_ft³,piece_weight_lb,piece_volume_ft³
4637,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECMAR,Walk Global/Escobar,20.37,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4634,Ordered,NaN,960,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001COCIA,Chep,20.36,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4630,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECHCM,Walk Global/Escobar,20.55,15.75,9.06,24.02,"19,861.59","1,908.00",0.0,2.12
4633,Ordered,NaN,960,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001COCIA,Chep,20.36,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4632,Ordered,NaN,960,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001ECELG,Tipo CHEP,20.07,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4626,Ordered,NaN,960,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001ECELG,Walk Global/Escobar,20.07,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4625,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,20.29,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4635,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,20.29,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4629,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,20.29,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4624,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,20.29,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
