container,pieces,manufacturer,departure_date,arrival_date,purchase_order_harvest_date,description,item_definition_categories,part_number,purchase_order_pallets,unitary_value,status,purchase_order_container#
1953,144,Coliman Pacific Corporation,01/28/2022,01/31/2022,NaN,Banane Cavendish Equitable Certifiée par Fairtrade (Conventional & Fairtrade),Conventional,004MXCOL,americano,17.49,On Hand,NaN
1953,480,Coliman Pacific Corporation,01/28/2022,01/31/2022,NaN,Banane Cavendish Bio & Equitable Certifiée par Ecocert Canada et Fairtrade (Organic & Fairtrade),Organic,001MXCOL,americano,21.02,On Hand,NaN
1953,336,Coliman Pacific Corporation,01/28/2022,01/31/2022,NaN,Banane Cavendish Bio & Equitable Certifiée par Ecocert Canada et Fairtrade (Organic & Fairtrade),Organic,001MXCOL,americano,21.02,On Hand,NaN
2081,960,APPBOSA,03/22/2022,04/11/2022,NaN,Banane Cavendish Bio & Equitable Certifiée par Ecocert Canada et Fairtrade (Organic & Fairtrade),Organic,001PEAPP,americano,17.12,On Hand,MNBU4212320
2106,384,ASOGUABO,04/11/2022,04/27/2022,NaN,Banane Cavendish Bio & Equitable Certifiée par Ecocert Canada et Fairtrade (Organic & Fairtrade),Organic,001ECELG,americano,16.66,On Hand,MMAU1119679
2106,96,ASOGUABO,04/11/2022,04/27/2022,NaN,Banane Cavendish Equitable Certifiée par Fairtrade (Conventional & Fairtrade),Conventional,004ECELG,americano,13.31,On Hand,MMAU1119679
2106,480,ASOGUABO,04/11/2022,04/27/2022,NaN,Banane Cavendish Bio & Equitable Certifiée par Ecocert Canada et Fairtrade (Organic & Fairtrade),Organic,001ECELG,americano,16.66,On Hand,MMAU1119679
2131,192,ASOGUABO,04/25/2022,05/09/2022,NaN,Banane Cavendish Equitable Certifiée par Fairtrade (Conventional & Fairtrade),Conventional,004ECELG,americano,13.46,On Hand,SUDU6173050
2131,384,ASOGUABO,04/25/2022,05/09/2022,NaN,Banane Cavendish Bio & Equitable Certifiée par Ecocert Canada et Fairtrade (Organic & Fairtrade),Organic,001ECELG,americano,16.86,On Hand,SUDU6173050
2157,480,ASOGUABO,05/15/2022,05/28/2022,NaN,Banane Cavendish Bio & Equitable Certifiée par Ecocert Canada et Fairtrade (Organic & Fairtrade),Organic,001ECELG,americano,17.16,On Hand,SZLU9508844
2157,480,ASOGUABO,05/15/2022,05/28/2022,NaN,Banane Cavendish Equitable Certifiée par Fairtrade (Conventional & Fairtrade),Conventional,004ECELG,americano,13.71,On Hand,SZLU9508844
2159,960,COQUIMBA,05/18/2022,05/31/2022,NaN,Banane Cavendish Equitable Certifiée par Fairtrade (Conventional & Fairtrade),Conventional,004NICOQ,americano,12.72,On Hand,MNBU4200401
2199,480,Coliman Pacific Corporation,06/20/2022,06/24/2022,06-15-2022,Banane Cavendish Equitable Certifiée par Fairtrade (Conventional & Fairtrade),Conventional,004MXCOL,americano,17.59,On Hand,NaN
2199,480,Coliman Pacific Corporation,06/20/2022,06/24/2022,06-15-2022,Banane Cavendish Bio & Equitable Certifiée par Ecocert Canada et Fairtrade (Organic & Fairtrade),Organic,001MXCOL,americano,21.14,On Hand,NaN
2203,960,APPBOSA,06/04/2022,06/20/2022,05-30-2022,Banane Cavendish Bio & Equitable Certifiée par Ecocert Canada et Fairtrade (Organic & Fairtrade),Organic,001PEAPP,Chep,17.19,On Hand,MMAU1241310
