status,job,supplier,carrier,port_of_loading,port_of_arrival,container#,quantity,received_quantity,job_expense,job_income,invoiced,unbilled_balance_cad,unpaid_balance_cad,amount,amt_before_tax_cad,exchange_rate,departure_date,arrival_date,incoterms,customs_clearance,weight_lb,volume_ft³,employee,shipping_date,job_due_date,date,paid
Delivered,3400,Marplantis Organic Sustainable Agriculture,ZIM,Guayaquil,Philadelphia,ZMOU8841679,900.0,900.0,26420.85,31335.44,Yes,0.0,0.0,USD 12690.00,17359.92,0.73,6/2/24,6/12/24,FOB,US Clearance,"35,992.67","1,906.99",David Melo,6/18/24,6/19/24,5/17/24,
Delivered,3401,Marplantis Organic Sustainable Agriculture,ONE,Guayaquil,Philadelphia,IKSU5205593,960.0,960.0,26190.48,31524.23,Yes,0.0,0.0,USD 13392.00,18320.26,0.73,5/31/24,6/11/24,FOB,US Clearance,"38,392.18",0,David Melo,6/17/24,6/17/24,5/17/24,
Delivered,3402,Surgesa S.A.,CMA,Guayaquil,Philadelphia,TEMU9576883,900.0,900.0,27454.15,33140.57,Yes,0.0,0.0,USD 13095.00,17913.96,0.73,5/31/24,6/11/24,FOB,US Clearance,"35,992.67","1,906.99",David Melo,6/17/24,6/24/24,5/17/24,
Delivered,3403,Surgesa S.A.,CMA,Guayaquil,Philadelphia,TCLU1271319,960.0,960.0,28478.0,33886.14,Yes,0.0,0.0,USD 13459.20,18412.19,0.73,5/31/24,6/11/24,FOB,US Clearance,"38,392.18","2,034.12",David Melo,6/17/24,6/19/24,5/17/24,
Delivered,3404,Coliman Pacific Corporation,Traffic Tech,"Nogales, Arizona",NaN,NaN,720.0,720.0,27693.85,27749.51,Yes,0.0,0.0,USD 14450.40,19854.85,0.73,6/17/24,6/20/24,FOB,NaN,"28,794.14","1,525.59",David Melo,6/20/24,6/20/24,5/24/24,
Delivered,3405,C.I. AGRICOLAS LAS FLORES S.A.S.,Seaboard,Santa Marta,Philadelphia,TLLU1178267,960.0,960.0,27349.06,32158.2,Yes,0.0,0.0,USD 13536.00,18598.46,0.73,6/6/24,6/16/24,FOB,Canada Inbond,"38,392.18","2,034.12",David Melo,6/19/24,6/19/24,5/24/24,
Delivered,3406,ASOGUABO,CMA,Guayaquil,Philadelphia,SZLU9090420,960.0,960.0,27388.91,31432.73,Yes,0.0,0.0,USD 13661.00,18715.57,0.73,5/31/24,6/11/24,FOB,US Clearance,"38,392.18","2,034.12",David Melo,6/19/24,6/19/24,5/23/24,
Delivered,3407,ASOGUABO,CMA,Guayaquil,Philadelphia,TRIU8122097,900.0,900.0,27378.56,33032.07,Yes,0.0,0.0,USD 12955.50,17749.04,0.73,5/31/24,6/11/24,FOB,US Clearance,"35,992.67","1,906.99",David Melo,6/19/24,6/25/24,5/23/24,
Delivered,3408,Coliman Pacific Corporation,NaN,"Nogales, Arizona",NaN,NaN,900.0,900.0,25590.42,30985.29,Yes,0.0,0.0,USD 17181.00,23606.69,0.73,6/24/24,6/24/24,FOB,NaN,"35,992.67","1,906.99",David Melo,6/24/24,6/25/24,5/24/24,
Delivered,3409,PRIECOR S.A.,Maersk,Puerto Bolivar,Philadelphia,MNBU0119518,900.0,900.0,27207.12,33092.35,Yes,0.0,0.0,USD 12690.00,17385.3,0.73,6/1/24,6/17/24,FOB,US Clearance,"35,992.67","1,906.99",David Melo,6/20/24,6/29/24,5/23/24,
Delivered,3410,ASOGUABO,Maersk,Puerto Bolivar,Philadelphia,SUDU8170281,900.0,900.0,26871.82,33152.63,Yes,0.0,0.0,USD 12686.50,17380.5,0.73,6/1/24,6/17/24,FOB,US Clearance,"35,992.67","1,906.99",David Melo,6/20/24,7/2/24,5/23/24,
Delivered,3411,COQUIMBA,Maersk,Puerto Cortes,Philadelphia,MNBU4395556,960.0,960.0,24884.75,29332.93,Yes,0.0,0.0,USD 9724.80,13322.98,0.73,6/8/24,6/17/24,EXW,Canada Inbond,"38,392.18","2,034.12",David Melo,6/24/24,6/24/24,5/23/24,
Delivered,3412,COQUIMBA,Maersk,Corinto,Philadelphia,MMAU1287409,960.0,960.0,24269.94,29279.58,Yes,0.0,0.0,USD 10416.00,14269.92,0.73,6/8/24,6/24/24,FOB,Canada Inbond,"38,392.18","2,034.12",David Melo,6/27/24,6/27/24,5/23/24,
Delivered,3413,C.I. AGRICOLAS LAS FLORES S.A.S.,Seaboard,Santa Marta,Philadelphia,SEGU9722620,960.0,960.0,27476.56,32169.9,Yes,0.0,0.0,USD 13536.00,18544.32,0.73,6/6/24,6/16/24,FOB,Canada Inbond,"38,392.18","2,034.12",David Melo,6/21/24,6/23/24,5/23/24,
Delivered,3414,Latbio S.A.,Maersk,Puerto Bolivar,Philadelphia,MNBU3372746,915.0,915.0,25431.04,25916.57,Yes,0.0,0.0,USD 12841.50,17592.86,0.73,6/8/24,6/24/24,FOB,US Clearance,"36,518.47","1,938.78",David Melo,6/28/24,6/28/24,5/23/24,
