shipper,shipper_name_&_address_&_phone
PRIECOR S.A.,"PRIECOR S.A.
Avenida 25 de Junio y Napoleón Mera. Edificio Contempo, Machala, Ecuador
593 7 294 1129"
APPBOSA,"APPBOSA
Sector Nueva Esperanza S/N Samán Marcavelica, Sullana, PIURA 01. Peru
0051 73 969412141"
C.I. AGRICOLAS LAS FLORES S.A.S.,"C.I. AGRICOLAS LAS FLORES S.A.S.
Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia
3137453982"
COQUIMBA,"COQUIMBA
Parque Las Rosas 1/2 Cuadra Al Sur, Chinandega, Nicaragua
505 2341-3882"
ASOGUABO,"ASOGUABO
VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador
593 7 2950088"
Latbio S.A.,"Latbio S.A.
10 de agosto entre Pichincha y García Moreno, Pasaje, El Oro Ecuador
+593 98 474 9653"
Coliman Pacific Corporation,"Coliman Pacific Corporation
10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States
480-598-8525"
C.I. LA SAMARIA S.A.S,"C.I. LA SAMARIA S.A.S
Cra. 1 No. 22-58 Ed. Bahía Centro Piso 4, Santa Marta, Colombia
576054237270"
Surgesa S.A.,"Surgesa S.A.
Luque #127, Pedro Carbo, Guayaquil 090307. Ecuador"
Hacienda Celia María C.A.,"Hacienda Celia María C.A.
Luque 127 y Pedro Carbo, Guayaquil, Ecuador"
Marplantis Organic Sustainable Agriculture,"Marplantis Organic Sustainable Agriculture
DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador
(593) 042 388457"
Latbio S.A.,"Latbio S.A.
10 de agosto entre Pichincha y García Moreno, Pasaje, El Oro., Ecuador"
ASOCIACION DE DESARROLLO SOCIAL UNI,"ASOCIACION DE DESARROLLO SOCIAL UNI"
Prieto Export S.A. Agricola Prietoexport S.A.,"Prieto Export S.A. Agricola Prietoexport S.A.
Avenida 25 de Junio y Napoleón Mera. Edificio Contempo, Machala, Ecuador
593 7 294 1129"
Gerifruit Organic Fruit,"Gerifruit Organic Fruit
Av. León Febres Cordero
Edificio River Plaza
Piso 5 Oficina 505., Daule, Guayas Ecuador"
"Equifruit, Inc.","Equifruit, Inc.
5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada"
COQUIMBA,"COQUIMBA
Chinandega, 
505 2341-3882"
EL GUABO,"EL GUABO

593 7 2950088"
EL GUABO,"EL GUABO
VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador
593 7 2950088"
Agricola Fairtrasa S.R.L.,"Agricola Fairtrasa S.R.L.
Esq, Felix Bonilla, Mao Valverde, 
(809) 822-8765"
APPBOSA,"APPBOSA

0051 73 969412141"
Coliman Pacific Corporation,"Coliman Pacific Corporation
Phoenix, AZ, 85044. 
480-598-8525"
C.I. AGRICOLAS LAS FLORES S.A.S.,"C.I. AGRICOLAS LAS FLORES S.A.S.
santa marta, 
3137453982"
