supplier,origin_port,destination_port,carrier,type,origin_country,destination_country
C.I. AGRICOLAS LAS FLORES S.A.S.,Port of Wilmington,Port of Wilmington,Dole Shipping,Ocean,United States,United States
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Port of Wilmington,Dole Shipping,Ocean,Colombia,United States
Coliman Pacific Corporation,Nogales,Calgary,CTX,Ground,United States,Canada
Marplantis Organic Sustainable Agriculture,Guayaquil,Port of Halifax,ZIM,Ocean,Ecuador,Canada
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,ZIM,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Port of Halifax,ZIM,Ocean,Ecuador,Canada
Marplantis Organic Sustainable Agriculture,Guayaquil,Port of Halifax,ZIM,Ocean,Ecuador,Canada
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
PRIECOR S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Coliman Pacific Corporation,Pharr,Toronto,TQL,Ground,United States,Canada
ASOGUABO,Guayaquil,San Diego,Dole Shipping,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,San Diego,Dole Shipping,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Coliman Pacific Corporation,Nogales,Seattle,TQL,Ground,United States,United States
Coliman Pacific Corporation,Nogales,Calgary,CTX,Ground,United States,Canada
Coliman Pacific Corporation,Pharr,Toronto,TQL,Ground,United States,Canada
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Port of Wilmington,Dole Shipping,Ocean,Colombia,United States
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Port of Wilmington,Dole Shipping,Ocean,Colombia,United States
Coliman Pacific Corporation,Pharr,Toronto,Megacorp,Ground,United States,Canada
ASOGUABO,Guayaquil,Port of Halifax,ZIM,Ocean,Ecuador,Canada
ASOGUABO,Guayaquil,Port of Halifax,ZIM,Ocean,Ecuador,Canada
ASOGUABO,Guayaquil,San Diego,Dole Shipping,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Coliman Pacific Corporation,Nogales,Calgary,CTX,Ground,United States,Canada
Coliman Pacific Corporation,Nogales,Calgary,CTX,Ground,United States,Canada
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,Maersk,Ocean,Ecuador,United States
