Status,Invoiced,Number,Date,Buyer,Job,Quantity,Amount,Shipping Date,Amount (CAD),Unbilled Balance (CAD),Unpaid Balance (CAD),Employee,Weight (lb),Volume (ft³),Approved Date,Payment Terms,Notes,Currency,Billing Address,Shipping Address,Seller Address,Exchange Rate,Is Cancelled,Reverse Exchange Rate,Paid,Amt. Before Tax (CAD),Other Charges (CAD),Items Amount (CAD),Billing Client,Total Discount (CAD),Total Discount,Purchase Order,Lot Number,Container#
Loading,No,4536,01/11/2025,Costco Vaughan Wet,4536.0,900,USD 0.00,01/13/2025,0.00,0.00,0.00,Claudia Ramirez,"35,992.67","1,906.99",,Net 30,,United States Dollar,"100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,0.00,0.0,0.00,Costco Vaughan Wet,0.0,USD 0.00,250241,,
Loading,No,4533,01/11/2025,Costco Varennes,4533.0,900,USD 24093.00,01/13/2025,"34,814.39","34,814.39",0.00,Claudia Ramirez,"35,992.67","1,906.99",,Net 30,,United States Dollar,"3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"34,814.39",0.0,"34,814.39",Costco Varennes,0.0,USD 0.00,5741231077,,
Loading,No,4565,01/11/2025,Costco Vaughan Wet,4565.0,855,USD 22888.35,01/13/2025,"33,073.67","33,073.67",0.00,Claudia Ramirez,"34,193.04","1,811.64",,Net 30,,United States Dollar,"100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"33,073.67",0.0,"33,073.67",Costco Vaughan Wet,0.0,USD 0.00,250354,,
Loading,No,4543,01/11/2025,Krown Produce  Fresh At Its Best™,,900,USD 24093.00,01/13/2025,"34,814.39","34,814.39",0.00,Claudia Ramirez,"35,992.67","1,906.99",,Net 10,,United States Dollar,"4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"34,814.39",0.0,"34,814.39",Krown Produce  Fresh At Its Best™,0.0,USD 0.00,AL1739,,
Loading,No,4537,01/11/2025,Costco Varennes,4537.0,900,USD 24093.00,01/12/2025,"34,814.39","34,814.39",0.00,Claudia Ramirez,"35,992.67","1,906.99",,Net 30,,United States Dollar,"3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"34,814.39",0.0,"34,814.39",Costco Varennes,0.0,USD 0.00,5741231066,,
Loading,No,4532,01/11/2025,Costco Vaughan Wet,4532.0,900,USD 24093.00,01/12/2025,"34,814.39","34,814.39",0.00,Claudia Ramirez,"35,992.67","1,906.99",,Net 30,,United States Dollar,"100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.45,No,"34,814.39",0.0,"34,814.39",Costco Vaughan Wet,0.0,USD 0.00,250353,,
Loading,No,4564,01/09/2025,Costco Vaughan Wet,4564.0,900,USD 24093.00,01/10/2025,"34,790.29","34,790.29",0.00,Claudia Ramirez,"35,992.67","1,906.99",,Net 30,,United States Dollar,"100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.44,No,"34,790.29",0.0,"34,790.29",Costco Vaughan Wet,0.0,USD 0.00,250239,,
Loading,No,4572,01/09/2025,Krown Produce  Fresh At Its Best™,4572.0,900,USD 22599.00,01/10/2025,"32,632.96","32,632.96",0.00,Claudia Ramirez,"35,992.67","1,906.99",,Net 10,,United States Dollar,"4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.44,No,"32,632.96",0.0,"32,632.96",Krown Produce  Fresh At Its Best™,0.0,USD 0.00,AL1704,,CAAU4105992
Loading,No,4575QC,01/09/2025,Sobeys Quebec City,4575.0,240,USD 5714.40,01/10/2025,"8,251.59","8,251.59",0.00,Claudia Ramirez,"9,598.05",508.53,,Net 30,,United States Dollar,"950, avenue Galilee, Duberger, QC G1P 4B7. Canada","950, avenue Galilee, Duberger, QC G1P 4B7. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.44,No,"8,251.59",0.0,"8,251.59",Sobeys Quebec City,0.0,USD 0.00,4567010205,,BEAU9710377
Loading,No,4575BCH,01/09/2025,Sobeys BCH,4575.0,720,USD 17143.20,01/10/2025,"24,754.78","24,754.78",0.00,Claudia Ramirez,"28,794.14","1,525.59",,Net 30,,United States Dollar,"Montreal, QC H1G 3J5. Canada","1500 Bd de Montarville, Boucherville, QC J4B 5Y3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0.69,No,1.44,No,"24,754.78",0.0,"24,754.78",Sobeys BCH,0.0,USD 0.00,4567010098,,BEAU9710377
