"Name","Phone","Mobile Phone","Email","Fax","Website","Account Number","Contact First Name","Contact Last Name","Identification Number","Ident. number type","System ID","Street and Number","City","State","Country","Zip code","Parent Account","Carrier Type","Method code","Carrier code","Phone Extension","IP Address","Street and Number 1","Street and Number 2","Street and Number 3","Billing Street and Number","Billing City","Billing State","Billing Country","Billing Zip Code","Billing Street and Number 1","Billing Street and Number 2","Billing Street and Number 3","Entity ID","Inactive","Has Transactions","Type","Known Shipper","Known Shipper Expiration Date","Notes","Attachments","Creation Date","Division","Transaction Tracking","Prepaid","Date of Birth","Last Screening Status","Last Screening Date","Preferred Currency","Balance (CAD)","Credit Limit (CAD)","Due Days","Payment Terms","IATA Account Number","Airline Prefix","Airline Code","FMC","SCAC Code","Available Credit (CAD)","Billing Period","Incoterms","1099 Eligible"
"JE FORTIN",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","01/03/2025",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Transport LFL",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","01/02/2025",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"DID Logistics",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","12/26/2024",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Dole Shipping",,,,,,,,,,"Other","0",,,,,,,"Ocean Carrier","Ocean",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","12/12/2024",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Dan Freight",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","11/15/2024",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Argus Transportation",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","07/18/2024",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Elevated",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","06/04/2024",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"SFX Transport",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","06/03/2024",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Ulloa Transport",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","05/09/2024",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Lealta Transport",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","05/09/2024",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Traffic Tech",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","05/08/2024",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Dhanoa Enterprises",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","05/02/2024",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"COSCO Shipping",,,,,,,,,,"Other","0",,,,,,,"Ocean Carrier","Ocean",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","04/29/2024",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Highway Motor Freight",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","04/19/2024",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"TQL",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","03/11/2024",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Megacorp",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","02/26/2024",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"ONE",,,,,,,,,,"Other","0",,,,,,,"Ocean Carrier","Ocean",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","01/31/2024",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"TMG Logistics",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","10/02/2023",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"CTX",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","09/29/2023",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"HGC Inc.",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","09/22/2023",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Gosal Trucking",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","09/22/2023",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Maersk",,,,,,,,,,"Other","0",,,,,,,"Ocean Carrier","Ocean",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","09/14/2023",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"RF Cargo",,,,,,,"Edwin","Camargo",,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","08/01/2023",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Amplify Logistics",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","05/19/2023",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"ZIM",,,,,,,,,,"Other","0",,,,,,,"Ocean Carrier","Ocean",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","04/14/2023",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Sherrington T",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","04/06/2023",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
"Seafood",,,,,,,,,,"Other","0",,,,,,,"Land Carrier","Ground",,,"0.0.0.0",,,,,,,,,,,,,"No","No","Carriers","No",,,"No","02/10/2023",,"Use default configuration","Yes",,,,,"0.00","0.00","0",,,,,,,"0.00","Never Apply",,"No"
