"Account Number","Name","Street and Number","City","State","Country","Zip code","Phone","Mobile Phone","Email","Fax","Website","Contact First Name","Contact Last Name","Identification Number","Ident. number type","System ID","Parent Account","Phone Extension","IP Address","Street and Number 1","Street and Number 2","Street and Number 3","Billing Street and Number","Billing City","Billing State","Billing Country","Billing Street and Number 1","Billing Street and Number 2","Billing Street and Number 3","Entity ID","Inactive","Has Transactions","Type","Known Shipper Expiration Date","Notes","Attachments","Creation Date","Division","Transaction Tracking","Has Open Transactions","Prepaid","Date of Birth","Last Screening Status","Last Screening Date","Preferred Currency","Balance (CAD)","Credit Limit (CAD)","Due Days","Payment Terms","Billing Client","Tracking User","Billing Period","Salesperson (Freight)","Salesperson","Available Credit (CAD)","Incoterms","Last Payment Amount (CAD)","Last Payment Date","Destination Agent"
,"Sprouts Farmers Market - Distribution Centers","5445 West Missouri Ave","Glendale","AZ","United States","85301",,,"AP@Sprouts.com",,,,,,"Other","0",,,"0.0.0.0","5445 West Missouri Ave",,,"5445 West Missouri Ave","Glendale","AZ","United States","5445 West Missouri Ave",,,"SFMDC00098","No","No","Customers",,,"No","01/08/2025",,"Use default configuration","No","No",,,,"United States Dollar","0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00",,
"C00006/005","COSTCO BRANTFORD","175 ROY BOULEVARD","BRANTFORD,","ON","Canada","N3R 7K1",,,,,,,,,"Other","0",,,"0.0.0.0","175 ROY BOULEVARD",,,"175 ROY BOULEVARD","BRANTFORD,","ON","Canada","175 ROY BOULEVARD",,,"2455886941669","No","Yes","Customers",,,"No","11/15/2024",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"3,360.97","12/09/2024",
,"Michelle Gubbells",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","09/16/2024",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"385.72","10/28/2024",
,"Maersk",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","08/20/2024",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"1,852.84","08/15/2024",
,"Agence du revenu du Canada",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","06/10/2024",,"Use default configuration","Yes","No",,,,,"2,191.66","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"1,610.73","12/18/2024",
,"Revenu Québec",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","06/10/2024",,"Use default configuration","Yes","No",,,,,"3,155.84","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"1,130.63","12/17/2024",
"C00006","Costco Canada","Devin Syrovatka  415 West Hunt Club Road,","Ottawa","ON","Canada","K2E 1C5",,,,,,,,,"Other","0",,,"0.0.0.0","Devin Syrovatka","415 West Hunt Club Road,",,"Devin Syrovatka  415 West Hunt Club Road,","Ottawa","ON","Canada","Devin Syrovatka","415 West Hunt Club Road,",,,"No","Yes","Customers",,,"No","05/09/2024",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"10.00","05/14/2024",
,"Holt Cargo Systems",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","05/02/2024",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"1,427.77","05/15/2024",
"C00002","Charlies Los Angeles","5301 Rivergrade Road","Irwindale","CA","United States","91706",,,,,,,,,"Other","0",,,"0.0.0.0","5301 Rivergrade Road",,,"5301 Rivergrade Road","Irwindale","CA","United States","5301 Rivergrade Road",,,,"No","Yes","Customers",,,"No","04/19/2024",,"Use default configuration","No","No",,,,,"0.00","0.00","20","Net 20","No","No","Use Default",,,"0.00",,"0.00","06/25/2024",
"C00009","Equifruit",,,,,,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,,,,,,,,"No","Yes","Customers",,,"No","02/02/2024",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00","03/31/2024",
"C00003","Charlies Seattle","5033 1st Ave S, Seattle 98134","Seattle","WA","United States","98134",,,,,,,,,"Other","0",,,"0.0.0.0","5033 1st Ave S, Seattle 98134",,,"5033 1st Ave S, Seattle 98134","Seattle","WA","United States","5033 1st Ave S, Seattle 98134",,,,"No","Yes","Customers",,,"No","01/29/2024",,"Use default configuration","Yes","No",,,,,"284,691.04","0.00","20","Net 20","No","No","Use Default",,,"0.00",,"27,293.76","12/02/2024",
"C00029","Wal-Mart",,"Calgary","AB","Canada",,,,,,,,,,"Other","0",,,"0.0.0.0",,,,,"Calgary","AB","Canada",,,,,"No","No","Customers",,,"No","01/17/2024",,"Use default configuration","No","No",,,,,"0.00","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"0.00",,
"C00010","Fairtrade Labelling Organizations Inter. e.V.","Bonner Talweg 177","53129 Bonn",,"Germany",,,,,,,,,,"Other","0",,,"0.0.0.0","Bonner Talweg 177",,,"Bonner Talweg 177","53129 Bonn",,"Germany","Bonner Talweg 177",,,,"No","Yes","Customers",,,"No","01/09/2024",,"Use default configuration","Yes","No",,,,,"7,203.87","0.00","30","Net 30","No","No","Use Default",,,"0.00",,"5,784.72","01/19/2024",
