"Account Number","Name","Street and Number","City","State","Country","Zip code","Phone","Mobile Phone","Email","Fax","Website","Contact First Name","Contact Last Name","Identification Number","Ident. number type","System ID","Parent Account","Division","Incoterms","Phone Extension","IP Address","Street and Number 1","Street and Number 2","Street and Number 3","Billing Street and Number","Billing City","Billing State","Billing Country","Billing Zip Code","Billing Street and Number 1","Billing Street and Number 2","Billing Street and Number 3","Entity ID","Inactive","Has Transactions","Type","Known Shipper","Known Shipper Expiration Date","Notes","Attachments","Transaction Tracking","Has Open Transactions","Prepaid","Date of Birth","Last Screening Status","Last Screening Date","Preferred Currency","Balance (CAD)","Credit Limit (CAD)","Due Days","Payment Terms","Available Credit (CAD)","Billing Period","Last Payment Amount (CAD)","Last Payment Date","1099 Eligible","Supplier Invoice?"
,"San Diego Refrigerated Services Inc. DBA Harborside Operating Account",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","1,227.40","01/13/2025","No","No"
,"DID Logistics INC",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","5,028.50","01/09/2025","No","No"
,"Academia de Español PROBIGUA",,,,,,"(502) 59630640",,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","Yes","Yes",,,,,"2,599.42","0.00","0",,"0.00","Never Apply","0.00",,"No","No"
,"DOLE OCEAN CARGO EXPRESS, LLC",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","7,196.10","01/10/2025","No","No"
,"Eugénie Dejonckheere",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","Yes","Yes",,,,,"411.51","0.00","0",,"0.00","Never Apply","0.00",,"No","No"
,"Alliance pour l'engagement jeunesse | alliance-jeunesse.org",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","95.20","12/20/2024","No","No"
,"Cari St-Laurent",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","127.37","12/20/2024","No","No"
,"Immigration Lamonde inc.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","6,108.08","12/12/2024","No","No"
,"Phoenix Media Network Inc.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","2,968.22","12/03/2024","No","No"
,"York U",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","77.74","11/26/2024","No","No"
,"Calgary Produce Marketing Association","PO Box 76154, RPO Millrise","Calgary","AB","Canada","T2Y 2Z0",,,"info@calgarypma.ca",,"www.calgarypma.ca",,,,"Other","0",,,,,"0.0.0.0","PO Box 76154, RPO Millrise",,,"PO Box 76154, RPO Millrise","Calgary","AB","Canada","T2Y 2Z0","PO Box 76154, RPO Millrise",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","300.00","12/06/2024","No","No"
,"OREPRODU SA","SUCRE S/N Y JUNIN","MACHALA",,"Ecuador",,"72962486",,"oreprodu.sa@gmail.com",,,"Priscila ","Adela",,"Other","0",,,,,"0.0.0.0","SUCRE S/N Y JUNIN",,,"SUCRE S/N Y JUNIN","MACHALA",,"Ecuador",,"SUCRE S/N Y JUNIN",,,,"No","No","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00",,"No","No"
,"Université McGill",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","63.18","10/16/2024","No","No"
,"C.I. LA SAMARIA S.A.S","Cra. 1 No. 22-58 Ed. Bahía Centro Piso 4","Santa Marta",,"Colombia",,"576054237270",,"chenao@daabon.com.co",,,"Carlos ","Henao",,"Other","0",,,,,"0.0.0.0","Cra. 1 No. 22-58 Ed. Bahía Centro Piso 4",,,"Cra. 1 No. 22-58 Ed. Bahía Centro Piso 4","Sant Marta",,"Colombia",,"Cra. 1 No. 22-58 Ed. Bahía Centro Piso 4",,,"DAABON","No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","9,307.20","11/18/2024","No","No"
,"Visa Banque Royal",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","Yes","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00","11/30/2024","No","No"
,"Association Inti",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","63.67","10/16/2024","No","No"
,"Ashley McPhee",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","866.60","12/13/2024","No","No"
