"Status","Job:Number","Incoming Shipment:Name","Purchase Order:Seller","Purchase Order:Carrier","Purchase Order:Container#","Purchase Order:Bill of Lading","Purchase Order:Harvest date","Purchase Order:Departure Date","Purchase Order:Arrival Date","Part Number","Item Definition:Categories","Pieces","Purchase Order:Customer","Sales Order:Buyer","Purchase Order:Shipping Date","Cargo Release:Purchase Order","Incoming Shipment:x dock date","Incoming Shipment:Terminal","Purchase Order:Port of Arrival","Purchase Order:ISF","Purchase Order:ramass_au_port_par","Purchase Order:transporteur_local","Purchase Order:US Customs","Purchase Order:Canadian Customs","Purchase Order:instructions_livraison_envoyes","Purchase Order:PARS number","Purchase Order:Examination","Purchase Order:Remark","Purchase Order:Temperature","Purchase Order:Ventilation","Purchase Order:Pallets","Purchase Order:Number","Incoming Shipment:Container Number","Incoming Shipment:Master Waybill","Sales Order:Billing Client","Warehouse Receipt Date","Departure Date","Arrival Date","Description","Synced to Logistico","Incoming Shipment:Waybill Number","Package","Length (in)","Height (in)","Width (in)","Weight (lb)","Volume (ft³)","Pickup Order:Number","Location Code","Location Description","Container","Piece Weight (lb)","Piece Volume (ft³)","Warehouse Provider","Model","Serial","Invoice Number","Purchase Order Number","Lot Number","Warehouse Receipt","Pickup Order","Cargo Release","Waybill (out)","Master Waybill (out)","Waybill (in)","Master Waybill (in)","Shipper","Consignee","WHR Shipper","WHR Consignee","WHR Supplier","Supplier","Issued By","Destination Agent","WHR Destination Agent","Inland Carrier","Carrier (out)","Carrier (in)","Released to","Booking #","Notify Party     ","Place of Delivery","Entry Date","Out Date","Dangerous","Schedule B Code","Schedule B Description","Include EEI","License Type","Export Code","Notes","Quantity","Unitary Value","Value","Unit","Attachments","Item ID","VIN","Tracking Number","First External Tracking Number","Pallet ID","Modes of Transportation","Origin Port","Destination Port","Secondary Description","Dimensions","Entry Number","G.O. Number","C.F.S. Number","Customs Entry Date","Contained Pieces","Arrival Date (Incoming)","Cargo Release P.O.","Volume weight (Vlb)","Chargeable Weight (lb)","Ventilation Setup","Temperature Setup","Generator Setup","Job Number","Sales Order Number","In Task","In Pallet","Previous Location","Release Order","Is Overstock","Unidentified","Container Number","Contained Descriptions","Contained Part Numbers","Vehicle Year","Vehicle Make","Vehicle Model","Vehicle Trim","Vehicle Class","Vehicle Type","Vehicle Manufacturer","Vehicle Body Type","Vehicle Country","Vehicle Engine Type","Vehicle Title Number","Vehicle Title State","Contained Item","Commodity Type","HTS","Manufacturer","Country","Is Cancelled","PO Line","SO Line","Expiration Date","Expired","On Hold","Hold Reason","Tracking #s","Requested Date","Promised Date","Lead Time","Pickup Date","Delivery Date","Imported Warehouse Receipt Number","Imported Pickup Order Number","Waybill Notes","NCM Code","Seal Number 1","Seal Number 2","Ship By","ETA Original ","Last event","Vessel arrived at Final POD","Vessel arrived at Final POD Date","Container Discharge at Final POD","Container Discharge at Final POD Date","Container Departure from Final POD","Container Departure from Final POD Date","Container Delivery to Consignee","Container Delivery to Consignee Date","Container Empty Return Depot","Container Empty Return Depot Date","Incoming Shipment:Notify Party     "
"Ordered","4637",,"Marplantis Organic Sustainable Agriculture","Maersk",,"MAEU249009979",,"18/01/2025","03/02/2025","007ECMAR",,"900",,,"13/02/2025",,,,"Philadelphia","<none>",,,"<none>","<none>",,,,,"13.90","25.00","Walk Global/Escobar","4637",,,,,,,"Banano Cavendish Organico Fairtrade 3lb con Banda Costco","No",,"Caja con tapa organica (morado y verde)","15.75","9.06","24.02","35,992.67","1,906.99",,,,"No","39.99","2.12",,"Organic banana",,,"4637",,,,,,,,,,,,,,,,,,,,,,,,,"01/10/2025",,"No",,,"No",,,,"900.00","20.37","18,337.05","Cases","No","0",,,,,,,,"Banano Cavendish Organico Fairtrade 3lb con Banda Costco","15.75x24.02x9.06in",,,,,"0",,,"19,851.10","35,992.67",,,"No","4637",,"No","No",,"0","No","No",,,,,,,,,,,,,,,,"No","Fresh Bananas",,"Marplantis Organic Sustainable Agriculture",,"No","1","0",,"No","No",,,,,"0",,,,,,,,,,,,"Pending",,"Pending",,"Pending",,"Pending",,"Pending",,
"Ordered","4634",,"C.I. AGRICOLAS LAS FLORES S.A.S.","Dole Shipping",,,,"25/01/2025","02/02/2025","001COCIA","Organic","960",,,"10/02/2025",,,,"Wilmington","<none>",,,"<none>","<none>",,,,,"13.90","25.00","Chep","4634",,,,,,,"Banano Cavendish Organico Fairtrade con banda","No",,"Caja con tapa organica (morado y verde)","15.75","9.06","24.02","38,392.18","2,034.12",,,,"No","39.99","2.12",,"Organic banana",,,"4634",,,,,,,,,,,,,,,,,,,,,,,,,"01/08/2025",,"No",,,"No",,,,"960.00","20.36","19,545.98","Cases","No","0",,,,,,,,"Banano Cavendish Organico Fairtrade con banda","15.75x24.02x9.06in",,,,,"0",,,"21,174.50","38,392.18",,,"No","4634",,"No","No",,"0","No","No",,,,,,,,,,,,,,,,"No","Fresh Bananas",,"C.I. AGRICOLAS LAS FLORES S.A.S.",,"No","1","0",,"No","No",,,,,"0",,,,,,,,,,,,"Pending",,"Pending",,"Pending",,"Pending",,"Pending",,
"Ordered","4631",,"Latbio S.A.","Maersk",,"MAEU248914945",,"18/01/2025","03/02/2025","007ECLAT",,"900",,,"12/02/2025",,,,"Philadelphia","<none>",,,"<none>","<none>",,,,,"13.90","25.00","Walk Global/Escobar","4631",,,,,,,"Banano Cavendish Organico Fairtrade 3lb con Banda Costco","No",,"Can Case","15.75","9.06","24.02","35,992.67","1,906.99",,,,"No","39.99","2.12",,"Organic Banana",,,"4631",,,,,,,,,,,,,,,,,,,,,,,,,"01/08/2025",,"No",,,"No",,,,"900.00","0.00","0.00","Cases","No","0",,,,,,,,"Banano Cavendish Organico Fairtrade 3lb con Banda Costco","15.75x24.02x9.06in",,,,,"0",,,"19,851.10","35,992.67",,,"No","4631",,"No","No",,"0","No","No",,,,,,,,,,,,,,,,"No","Fresh Bananas",,"Latbio S.A.",,"No","1","0",,"No","No",,,,,"0",,,,,,,,,,,,"Pending",,"Pending",,"Pending",,"Pending",,"Pending",,
"Ordered","4630",,"Hacienda Celia María C.A.","Maersk",,"MAEU248914871",,"18/01/2025","03/02/2025","007ECHCM",,"900",,,"11/02/2025",,,,"Philadelphia","<none>",,,"<none>","<none>",,,,,"13.90","25.00","Walk Global/Escobar","4630",,,,,,,"Banano Cavendish Organico Fairtrade 3lb con Banda Costco","No",,"Bandeja Organica/Open-Top Case (Morado y verde)","15.75","9.06","24.02","0.00","1,908.00",,,,"No","0.00","2.12",,"Organic banana",,,"4630",,,,,,,,,,,,,,,,,,,,,,,,,"01/08/2025",,"No",,,"No",,,,"900.00","20.55","18,493.31","Cases","No","0",,,,,,,,"Banano Cavendish Organico Fairtrade 3lb con Banda Costco","15.75x24.02x9.06in",,,,,"0",,,"19,861.59","19,861.59",,,"No","4630",,"No","No",,"0","No","No",,,,,,,,,,,,,,,,"No","Fresh Bananas",,"Hacienda Celia María C.A.",,"No","1","0",,"No","No",,,,,"0",,,,,,,,,,,,"Pending",,"Pending",,"Pending",,"Pending",,"Pending",,
"Ordered","4633",,"C.I. AGRICOLAS LAS FLORES S.A.S.","Seaboard",,,,"25/01/2025","04/02/2025","001COCIA","Organic","960",,,"12/02/2025",,,,"Philadelphia","<none>",,,"<none>","<none>",,,,,"13.90","25.00","Chep","4633",,,,,,,"Banano Cavendish Organico Fairtrade con banda","No",,"Caja con tapa organica (morado y verde)","15.75","9.06","24.02","38,392.18","2,034.12",,,,"No","39.99","2.12",,"Organic banana",,,"4633",,,,,,,,,,,,,,,,,,,,,,,,,"01/08/2025",,"No",,,"No",,,,"960.00","20.36","19,545.98","Cases","No","0",,,,,,,,"Banano Cavendish Organico Fairtrade con banda","15.75x24.02x9.06in",,,,,"0",,,"21,174.50","38,392.18",,,"No","4633",,"No","No",,"0","No","No",,,,,,,,,,,,,,,,"No","Fresh Bananas",,"C.I. AGRICOLAS LAS FLORES S.A.S.",,"No","2","0",,"No","No",,,,,"0",,,,,,,,,,,,"Pending",,"Pending",,"Pending",,"Pending",,"Pending",,
"Ordered","4632",,"ASOGUABO","Maersk",,"MAEU248915161",,"18/01/2025","03/02/2025","001ECELG","Organic","960",,,"10/02/2025",,,,"Philadelphia","<none>",,,"<none>","<none>",,,,,"13.90","25.00","Tipo CHEP","4632",,,,,,,"Banano Cavendish Organico Fairtrade con banda","No",,"Caja con tapa organica (morado y verde)","15.75","9.06","24.02","38,392.18","2,034.12",,,,"No","39.99","2.12",,"Organic banana",,,"4632",,,,,,,,,,,,,,,,,,,,,,,,,"01/08/2025",,"No",,,"No",,,,"960.00","20.07","19,268.74","Cases","No","0",,,,,,,,"Banano Cavendish Organico Fairtrade con banda","15.75x24.02x9.06in",,,,,"0",,,"21,174.50","38,392.18",,,"No","4632",,"No","No",,"0","No","No",,,,,,,,,,,,,,,,"No","Fresh Bananas",,"ASOGUABO",,"No","1","0",,"No","No",,,,,"0",,,,,,,,,,,,"Pending",,"Pending",,"Pending",,"Pending",,"Pending",,
"Ordered","4626",,"ASOGUABO","COSCO Shipping",,,,"18/01/2025","29/01/2025","001ECELG","Organic","960",,,"06/02/2025",,,,"Philadelphia","<none>",,,"<none>","<none>",,,,,"13.90","25.00","Walk Global/Escobar","4626",,,,,,,"Banano Cavendish Organico Fairtrade con banda","No",,"Caja con tapa organica (morado y verde)","15.75","9.06","24.02","38,392.18","2,034.12",,,,"No","39.99","2.12",,"Organic banana",,,"4626",,,,,,,,,,,,,,,,,,,,,,,,,"01/08/2025",,"No",,,"No",,,,"960.00","20.07","19,268.74","Cases","No","0",,,,,,,,"Banano Cavendish Organico Fairtrade con banda","15.75x24.02x9.06in",,,,,"0",,,"21,174.50","38,392.18",,,"No","4626",,"No","No",,"0","No","No",,,,,,,,,,,,,,,,"No","Fresh Bananas",,"ASOGUABO",,"No","1","0",,"No","No",,,,,"0",,,,,,,,,,,,"Pending",,"Pending",,"Pending",,"Pending",,"Pending",,
"Ordered","4625",,"ASOGUABO","COSCO Shipping",,,,"18/01/2025","29/01/2025","007ECELG","Costco","900",,,"10/02/2025",,,,"Philadelphia","<none>",,,"<none>","<none>",,,,,"13.90","25.00","Walk Global/Escobar","4625",,,,,,,"Banano Cavendish Organico Fairtrade 3lb con Banda Costco","No",,"Bandeja Organica/Open-Top Case (Morado y verde)","15.75","9.06","24.02","35,992.67","1,906.99",,,,"No","39.99","2.12",,"Organic banana",,,"4625",,,,,,,,,,,,,,,,,,,,,,,,,"01/08/2025",,"No",,,"No",,,,"900.00","20.29","18,259.38","Cases","No","0",,,,,,,,"Banano Cavendish Organico Fairtrade 3lb con Banda Costco","15.75x24.02x9.06in",,,,,"0",,,"19,851.10","35,992.67",,,"No","4625",,"No","No",,"0","No","No",,,,,,,,,,,,,,,,"No","Fresh Bananas",,"ASOGUABO",,"No","1","0",,"No","No",,,,,"0",,,,,,,,,,,,"Pending",,"Pending",,"Pending",,"Pending",,"Pending",,
"Ordered","4635",,"ASOGUABO","Dole Shipping",,,,"17/01/2025","26/01/2025","007ECELG","Costco","900",,,"10/02/2025",,,,"San Diego","<none>",,,"<none>","<none>",,,,,"13.90","25.00","Walk Global/Escobar","4635",,,,,,,"Banano Cavendish Organico Fairtrade 3lb con Banda Costco","No",,"Bandeja Organica/Open-Top Case (Morado y verde)","15.75","9.06","24.02","35,992.67","1,906.99",,,,"No","39.99","2.12",,"Organic banana",,,"4635",,,,,,,,,,,,,,,,,,,,,,,,,"01/08/2025",,"No",,,"No",,,,"900.00","20.29","18,259.38","Cases","No","0",,,,,,,,"Banano Cavendish Organico Fairtrade 3lb con Banda Costco","15.75x24.02x9.06in",,,,,"0",,,"19,851.10","35,992.67",,,"No","4635",,"No","No",,"0","No","No",,,,,,,,,,,,,,,,"No","Fresh Bananas",,"ASOGUABO",,"No","1","0",,"No","No",,,,,"0",,,,,,,,,,,,"Pending",,"Pending",,"Pending",,"Pending",,"Pending",,
"Ordered","4629",,"ASOGUABO","Maersk",,"MAEU248961776",,"18/01/2025","03/02/2025","007ECELG","Costco","900",,,"07/02/2025",,,,"Philadelphia","<none>",,,"<none>","<none>",,,,,"13.90","25.00","Walk Global/Escobar","4629",,,,,,,"Banano Cavendish Organico Fairtrade 3lb con Banda Costco","No",,"Bandeja Organica/Open-Top Case (Morado y verde)","15.75","9.06","24.02","35,992.67","1,906.99",,,,"No","39.99","2.12",,"Organic banana",,,"4629",,,,,,,,,,,,,,,,,,,,,,,,,"01/08/2025",,"No",,,"No",,,,"900.00","20.29","18,259.38","Cases","No","0",,,,,,,,"Banano Cavendish Organico Fairtrade 3lb con Banda Costco","15.75x24.02x9.06in",,,,,"0",,,"19,851.10","35,992.67",,,"No","4629",,"No","No",,"0","No","No",,,,,,,,,,,,,,,,"No","Fresh Bananas",,"ASOGUABO",,"No","1","0",,"No","No",,,,,"0",,,,,,,,,,,,"Pending",,"Pending",,"Pending",,"Pending",,"Pending",,
