"Description","Length (in)","Height (in)","Width (in)","Weight (lb)","Volume (ft³)","Maximum Weight (lb)","Type","Type Code","Container Code","Container Type","Method"
"Caja con tapa convencional (naranja y azul)","0.00","0.00","0.00","0.00","0.00","0.00","Case","CAS",,,
"Bandeja Organica/Open-Top Case (Morado y verde)","15.90","8.90","23.90","0.00","1.96","0.00","Case","CAS",,,
"D Container","58.00","45.00","42.00","0.00","56.50","0.00","Container","CNT",,," Ground Air"
"Type L-N","55.91","57.09","55.12","0.00","98.88","3,160.11","Container","CNT",,," Ground Air"
"Type EH","35.83","22.05","22.05","0.00","7.06","646.84","Container","CNT",,," Ground Air"
"Type E","42.13","25.59","29.13","0.00","17.66","646.84","Container","CNT",,," Ground Air"
"LD-2 (IATA Type 8D) ","46.85","64.17","60.24","0.00","116.54","2,700.66","Container","CNT",,," Ground Air"
"LD-3 (IATA Type 8)","60.63","64.17","60.24","0.00","151.85","3,500.94","Container","CNT",,," Ground Air"
"LD-4 (IATA Type 7A) ","96.06","64.17","60.24","0.00","190.70","5,401.33","Container","CNT",,," Ground Air"
"LD-8 ( IATA Type 6A)","96.06","64.17","60.24","0.00","247.20","5,401.33","Container","CNT",,," Ground Air"
"LD-11 (IATA Type 6)","124.80","62.99","60.24","0.00","247.20","7,001.88","Container","CNT",,," Ground Air"
"LD-11 Pallet (IATA Type 6)","124.80","62.99","60.24","0.00","243.67","7,001.88","Container","CNT",,," Ground Air"
"LD-7 (IATA Type 5)","124.80","62.99","88.19","0.00","349.62","10,200.79","Container","CNT",,," Ground Air"
"45 Ft. HC Refrigerated","0.00","0.00","0.00","0.00","0.00","0.00","Container","CNT",,"L5R1"," Ocean Ground"
"45 Ft. High Cube (Aluminium)","534.72","105.79","92.32","0.00","3,022.94","64,132.47","Container","CNT",,"L5G1"," Ocean Ground"
"45 Ft. Standard Container","0.00","0.00","0.00","0.00","0.00","0.00","Container","CNT",,"L5G0"," Ocean Ground"
"40 Ft. Ventilated","0.00","0.00","0.00","0.00","0.00","0.00","Container","CNT",,"42VH"," Ocean Ground"
"40 Ft. Tank","0.00","0.00","0.00","0.00","0.00","0.00","Container","CNT",,"42T0"," Ocean Ground"
