"Number","Type","Status","Applied to","Transaction Date","Due Date","Employee","Account Name","Amt. Paid","Amt. Due","Amount","Job"
"90221998","Bill","Open","Circular Materials","10/01/2025","10/31/2025","Karyne Manseau","Comptes payables CAD","CAD 0.00","CAD 1,639.59","CAD 1,639.59",
"90221997","Bill","Open","Circular Materials","07/01/2025","07/31/2025","Karyne Manseau","Comptes payables CAD","CAD 0.00","CAD 1,639.61","CAD 1,639.61",
"90221996","Bill","Open","Circular Materials","04/01/2025","05/30/2025","Karyne Manseau","Comptes payables CAD","CAD 0.00","CAD 1,639.61","CAD 1,639.61",
"001-001-00000181A","Bill","Open","PRIECOR S.A.","01/12/2025","01/12/2025","Karyne Manseau","Comptes payables USD","USD 0.00","USD 900.00","USD 900.00",
"25H00723","Bill","Open","Holt Cargo Systems LLC","01/10/2025","02/09/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 1,350.00","USD 1,350.00","4528"
"25H00455","Bill","Open","Holt Cargo Systems LLC","01/10/2025","02/09/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 1,350.00","USD 1,350.00","3993"
"25H00456","Bill","Open","Holt Cargo Systems LLC","01/10/2025","02/09/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 1,425.00","USD 1,425.00","4499"
"25H00457","Bill","Open","Holt Cargo Systems LLC","01/10/2025","02/09/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 1,235.00","USD 1,235.00","4509"
"25H00458","Bill","Open","Holt Cargo Systems LLC","01/10/2025","02/09/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 1,675.00","USD 1,675.00","4490"
"25H00459","Bill","Open","Holt Cargo Systems LLC","01/10/2025","02/09/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 1,850.00","USD 1,850.00","4493"
"25H00460","Bill","Open","Holt Cargo Systems LLC","01/10/2025","02/09/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 1,600.00","USD 1,600.00","4521"
"25H00462","Bill","Open","Holt Cargo Systems LLC","01/10/2025","02/09/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 1,500.00","USD 1,500.00","4505"
"25H00461","Bill","Open","Holt Cargo Systems LLC","01/10/2025","02/09/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 1,350.00","USD 1,350.00","4498"
"25H00463","Bill","Open","Holt Cargo Systems LLC","01/10/2025","02/09/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 1,575.00","USD 1,575.00","4461"
"M03892360","Bill","Open","BGL Brokerage Ltd","01/10/2025","01/25/2025","Vasty Santamaria","Comptes payables CAD","CAD 0.00","CAD 30.51","CAD 30.51","4531"
"626482","Bill","Open","721 LOGISTICS LLC DBA J&K FRESHEAST","01/09/2025","01/29/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 234.82","USD 234.82","4528"
"2040","Bill","Open","Coliman Pacific Corporation","01/09/2025","01/29/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 18,234.00","USD 18,234.00","4565"
"2039","Bill","Open","Coliman Pacific Corporation","01/09/2025","01/29/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 18,630.00","USD 18,630.00","4543"
"M03891542","Bill","Open","BGL Brokerage Ltd","01/09/2025","01/24/2025","Vasty Santamaria","Comptes payables CAD","CAD 0.00","CAD 30.51","CAD 30.51","4526"
"M03891541","Bill","Open","BGL Brokerage Ltd","01/09/2025","01/24/2025","Vasty Santamaria","Comptes payables CAD","CAD 0.00","CAD 30.51","CAD 30.51","4500"
"M03891539","Bill","Open","BGL Brokerage Ltd","01/09/2025","01/24/2025","Vasty Santamaria","Comptes payables CAD","CAD 0.00","CAD 30.51","CAD 30.51","4528"
"626235","Bill","Open","721 LOGISTICS LLC DBA J&K FRESHEAST","01/08/2025","01/28/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 155.00","USD 155.00","4547"
"626234","Bill","Open","721 LOGISTICS LLC DBA J&K FRESHEAST","01/08/2025","01/28/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 155.00","USD 155.00","4546"
"626233","Bill","Open","721 LOGISTICS LLC DBA J&K FRESHEAST","01/08/2025","01/28/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 155.00","USD 155.00","4520"
"626232","Bill","Open","721 LOGISTICS LLC DBA J&K FRESHEAST","01/08/2025","01/28/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 155.00","USD 155.00","4524"
"626231","Bill","Open","721 LOGISTICS LLC DBA J&K FRESHEAST","01/08/2025","01/28/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 155.00","USD 155.00","4518"
"626204","Bill","Open","721 LOGISTICS LLC DBA J&K FRESHEAST","01/08/2025","01/28/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 238.81","USD 238.81","4495"
"610857","Bill","Open","J K Fresh LLC.","01/08/2025","01/09/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 236.39","USD 236.39","4572"
"0210753-IN","Bill","Open","Penn Terminals","01/08/2025","01/09/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 5,157.82","USD 5,157.82","4454"
"0210753-IN","Bill","Open","Penn Terminals","01/08/2025","01/09/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 352.70","USD 352.70","3999"
"25H00226","Bill","Open","Holt Cargo Systems LLC","01/08/2025","02/07/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 1,235.00","USD 1,235.00","4448"
"M03890711","Bill","Open","BGL Brokerage Ltd","01/08/2025","01/23/2025","Vasty Santamaria","Comptes payables CAD","CAD 0.00","CAD 31.04","CAD 31.04","4545"
"25H00076","Bill","Open","Holt Cargo Systems LLC","01/07/2025","02/06/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 1,450.00","USD 1,450.00","4517"
"25H00078","Bill","Open","Holt Cargo Systems LLC","01/07/2025","02/06/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 1,450.00","USD 1,450.00","4503"
"25H00075","Bill","Open","Holt Cargo Systems LLC","01/07/2025","02/06/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 1,350.00","USD 1,350.00","4471"
"25H00077","Bill","Open","Holt Cargo Systems LLC","01/07/2025","02/06/2025","Vasty Santamaria","Comptes payables USD","USD 0.00","USD 1,350.00","USD 1,350.00","4510"
