"Code","Name","Country","Subdivision","Used","Remarks","Air","Ocean","Rail","Road","Mail","Border Crossing Point","US Customs Code"
"USOLS","Nogales","United States",,"Yes",,"No","No","No","Yes","No","No",
"USGPT","Gulf Port","United States",,"Yes",,"No","Yes","No","No","No","No",
"TXA","Texas","United States","MD","Yes",,"No","No","No","Yes","No","No",
"TEX","Pharr","United States",,"Yes",,"No","No","No","Yes","No","No",
"SEA","Seattle","United States",,"Yes",,"No","No","No","Yes","No","No",
"PHL","Philadelphia","United States","PA","Yes",,"Yes","Yes","No","No","Yes","No",
"PHA","Pharr","United States",,"Yes",,"No","No","No","Yes","No","No",
"NY","New York","United States",,"Yes",,"No","No","No","No","No","No",
"NTD","Port Hueneme","United States","CA","Yes",,"Yes","Yes","Yes","Yes","No","No",
"NOGAL","Nogales","United States",,"Yes",,"No","No","No","No","No","No",
"ILG","Port of Wilmington","United States",,"Yes",,"No","Yes","No","No","No","No",
"HUE","Hueneme","United States","CA","Yes",,"No","Yes","No","No","No","No",
"HO","Houston","United States",,"Yes",,"No","Yes","Yes","No","No","No",
"AZ","Nogales","United States",,"Yes",,"No","No","No","Yes","No","No",
"00-95","San Diego","United States",,"Yes",,"No","Yes","No","No","No","No",
"00","Houston","United States",,"Yes",,"No","Yes","Yes","No","No","No",
"PAI","Paita","Peru",,"Yes",,"No","Yes","No","No","No","No",
"CIO","CORINTO","Nicaragua",,"Yes",,"No","Yes","No","No","No","No",
"CHI","Chinandega","Nicaragua",,"Yes",,"No","Yes","No","Yes","No","No",
"PBO","Puerto Bolivar","Ecuador","O","Yes",,"No","Yes","No","No","No","No",
"GYE","Guayaquil","Ecuador","G","Yes",,"Yes","Yes","No","No","Yes","No",
"SMR","Santa Marta","Colombia",,"Yes",,"Yes","Yes","No","No","No","No",
"VANCO","Vancouver","Canada",,"Yes",,"No","No","No","No","No","No",
"VAN","Vancouver","Canada",,"Yes",,"No","No","No","No","No","No",
"TOR","Toronto","Canada","ON","Yes",,"Yes","Yes","No","Yes","Yes","No",
"MTR","Montreal","Canada","QC","Yes",,"No","Yes","No","Yes","No","No",
"CG","Calgary","Canada",,"Yes",,"No","No","No","No","No","No",
"CAL","Calgary","Canada",,"Yes",,"No","No","No","Yes","No","No",
"000","Quebec City","Canada",,"Yes",,"No","No","No","Yes","No","No",
"00","Port of Halifax","Canada",,"Yes",,"No","Yes","No","No","No","No",
