"Status","Number","Release Date","Released to","Pieces","Weight (lb)","Volume (ft³)","Creation Date","Issued By","Income (CAD)","Expense (CAD)","Balance (CAD)","Transactions Balance (CAD)","Division","Exclude From Tracking","Volume weight (Vlb)","Employee","PRO Number","Tracking Number","Driver's Name","Driver's License Number","Notes","Is Liquidated","Carrier","Delivery Date","POD Received By","POD Comments","Entry Number","G.O. Number","C.F.S. Number","Commodities Description","Issued By Address","Release to Address","Has Transactions","Purchase Order Number","Attachments","Online","Billing Client","Template Name","Online Creator","VIN","Is Printed","Last Event","Task Type","Task Employee","Task Status","Task Subject","Task Notes","Purchase Order","Delivery date","Lot Number","Container#"
"Loaded","4543","01/13/2025","Krown Produce  Fresh At Its Best™","1","3,747.86","2,359.59","01/11/2025","Equifruit, Inc.","34,814.39","0.00","34,814.39","0.00",,"No","24,562.48","Claudia Ramirez",,,,,,"No","CTX",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","No",,"No","No","Krown Produce  Fresh At Its Best™",,,,"No",,,,,,,"AL1739",,,
"Loaded","4565","01/13/2025","Chiovitti Banana Co., Ltd","855","34,193.04","1,811.64","01/11/2025","Equifruit, Inc.","33,073.67","0.00","33,073.67","0.00",,"No","18,858.54","Claudia Ramirez",,,,,"Country of Origin: Mexico","No","TQL",,,,,,,"Banano Cavendish Organico Fairtrade 3lb con Banda Costco","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250354",,,
"Loaded","4536","01/13/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","01/11/2025","Equifruit, Inc.","0.00","0.00","0.00","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250241",,,
"Loaded","4550","01/13/2025","Courchesne Larose","1","3,747.86","2,359.59","01/09/2025","Equifruit, Inc.","35,584.78","0.00","35,584.78","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Colombia
Please scan TIVE Sticker.  Thank you, ","No","TQL",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","No",,"No","No","Courchesne Larose",,,,"Yes",,,,,,,"2486593",,,"SEGU9465097"
"Loaded","4533","01/13/2025","Courchesne Larose","1","3,747.86","2,359.59","01/11/2025","Equifruit, Inc.","34,814.39","0.00","34,814.39","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No",,,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","No",,"No","No","Courchesne Larose",,,,"No",,,,,,,"5741231077",,,
"Loaded","4532","01/12/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","01/11/2025","Equifruit, Inc.","34,814.39","0.00","34,814.39","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No","Holt",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250353",,,
"Loaded","4560","01/12/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","01/09/2025","Equifruit, Inc.","33,768.81","0.00","33,768.81","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Colombia
Please scan TIVE Sticker.  Thank you, ","No","TQL",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"Yes",,,,,,,"250355",,,"BMOU9887238"
"Loaded","4537","01/12/2025","Courchesne Larose","1","3,747.86","2,359.59","01/11/2025","Equifruit, Inc.","34,814.39","0.00","34,814.39","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador
Please scan TIVE Sticker.  Thank you, ","No",,,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","No",,"No","No","Courchesne Larose",,,,"No",,,,,,,"5741231066",,,
"Loaded","4562","01/10/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","01/07/2025","Equifruit, Inc.","34,573.45","0.00","34,573.45","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Ecuador","No","TQL",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250240",,,
"Loaded","4527CH","01/10/2025","Charlies Seattle","720","28,794.14","1,525.59","01/08/2025","Equifruit, Inc.","28,950.26","0.00","28,950.26","0.00",,"No","15,880.88","Claudia Ramirez",,,,,,"No","TQL",,,,,,,"Banano Cavendish Organico Fairtrade con banda","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5033 1st Ave S, Seattle 98134, Seattle, WA 98134. United States","No",,"No","No","Charlies Seattle",,,,"No",,,,,,,"7002396",,,
"Loaded","4531","01/10/2025","Chiovitti Banana Co., Ltd","1","3,747.86","2,359.59","01/03/2025","Equifruit, Inc.","33,827.27","0.00","33,827.27","0.00",,"No","24,562.48","Claudia Ramirez",,,,,"Country of Origin: Colombia
Please scan TIVE Sticker.  Thank you, ","No","TQL",,,,,,,,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","No",,"No","No","Chiovitti Banana Co., Ltd",,,,"No",,,,,,,"250234",,,"TEMU9696277"
