"Part Number","Item Type","Description","Manufacturer","Package","Pieces","Sellable","Unit","Amount Per Pallet","Incoming Pieces","Cost","Total Purchase Cost (CAD)","Total Billed Pieces","Model","Customer","Exp. Cut-off days","Safety Stock","Automatic Reorder","Creation Date","Schedule B Code","Schedule B Description","License Type","Export Code","Minimum Stock","Unitary Value","Sale Item","Purchase Item","Allocated Pieces","Allocated Incoming Pieces","Notes","Length (in)","Width (in)","Height (in)","Weight (lb)","Volume (ft³)","Has variable weight","Total OnHand Weight (lb)","Inactive","Keep by serial","Save serial","SKU's","First SKU","Commodity Type","Price","Notify Employee","Notify Customer","Auto Purchase Order","Quantity to Order","Preferred Vendor","Backordered","Needs Replenishment","Inventory Type","Has Expired Items","Costing Method","Total Additional Cost (CAD)","Total Landed Cost (CAD)","Average Landed Cost (CAD)","Average Purchase Cost (CAD)","Average Additional Cost (CAD)","Minimum Lead Time","Maximum Lead Time","NCM Code","Pieces in Compound Items","Incoming Pieces in Compound Items","Reserved Pieces","Available Pieces","Available Now","Categories","Substitute Part Numbers","Commission Type","Commission","English Description","French Description"
"008PEAPP","Stock Item","Banano Cavendish Organico Fairtrade 3lb con Banda","APPBOSA","Bandeja Organica/Open-Top Case (Morado y verde)","0","No","Cases","48","0","0.00","0.00","0","Organic banana",,"0","0","No","08/01/2022",,,,,"0","0.00",,,"0","0",,"16.14","24.02","9.06","39.99","2.12","No","0.00","No","No","No",,,"Fresh Bananas","0.00",,"No","No","0",,"0","No","FIFO","No","Specific Identification","0.00","0.00","0.00","0.00","0.00","0","0",,"0","0","0","0","0",,,,,"Organic and Fairtrade Cavendish Banana 3lb","Banane Cavendish Biologique et Fairtrade 3lb"
"008MXCOL","Stock Item","Banano Cavendish Organico Fairtrade con Banda - 100","Coliman Pacific Corporation","Caja con tapa organica (morado y verde)","0","No",,"0","78","0.00","0.00","0","Organic banana",,"0","0","No","12/31/2024",,,,,"0","0.00",,,"0","0",,"15.75","24.02","9.06","0.00","2.12","No","0.00","No","No","No",,,"Fresh Bananas","0.00",,"No","No","0",,"0","No","FIFO","No","Average Cost","0.00","0.00","0.00","0.00","0.00","29","29",,"0","0","0","78","0",,,,,,
"007PEAPP","Stock Item","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","APPBOSA","Bandeja Organica/Open-Top Case (Morado y verde)","1,800","Yes","Cases","45","0","20.40","30,689.69","1,800","Organic banana","Costco Vaughan Wet","0","0","No","01/12/2022",,,,,"0","0.00","Banane Cavendish Bio & Equitable / Fairtrade & Organic banana","Banane Cavendish Bio & Equitable / Fairtrade & Organic banana","1,800","0",,"15.75","24.02","9.06","39.99","2.12","No","71,985.34","No","No","No",,,"Fresh Bananas","0.00",,"No","No","0","APPBOSA","0","No","FIFO","No","Specific Identification","0.00","30,689.69","17.05","17.05","0.00","2","34",,"0","0","0","0","0",,,,,"Organic and Fairtrade Cavendish Banana 3lb","Banane Cavendish Biologique et Fairtrade 3lb"
"007MXCOL","Stock Item","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","Coliman Pacific Corporation","Bandeja Organica/Open-Top Case (Morado y verde)","45","Yes","Cases","45","16,200","25.68","149,237.53","5,400","Organic banana ","Costco Vaughan Wet","0","0","No","05/04/2023",,,,,"0","0.00","Banano Cavendish Organico Fairtrade 3lb con Banda Costco Cost","Banano Cavendish Organico Fairtrade 3lb con Banda Costco Cost","0","0",,"15.75","24.02","9.06","39.99","2.12","No","1,799.63","No","No","No",,,"Fresh Bananas","0.00",,"No","No","0","Coliman Pacific Corporation","0","No","FIFO","No","Average Cost","0.00","149,237.53","27.64","27.64","0.00","4","57",,"0","0","0","16,245","45",,,,,,
"007ECSUR","Stock Item","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","Surgesa S.A.","Bandeja Organica/Open-Top Case (Morado y verde)","2,700","Yes",,"0","1,800","21.05","92,866.73","4,500","Organic banana","Costco Vaughan Wet","0","0","No","02/14/2023",,,,,"0","0.00","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","Banano Cavendish Organico Fairtrade 3lb con Banda Costco Cost","900","0",,"15.75","24.02","9.06","39.99","2.12","No","107,978.01","No","No","No",,,"Fresh Bananas","0.00",,"No","No","0","Surgesa S.A.","0","No","FIFO","No","Average Cost","0.00","92,866.73","20.64","20.64","0.00","1","47",,"0","0","0","3,600","1,800",,,,,,
"007ECPRI","Stock Item","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","PRIECOR S.A.","Bandeja Organica/Open-Top Case (Morado y verde)","3,600","Yes","Cases","45","900","20.40","35,976.15","1,800","Organic banana","Costco Vaughan Wet","0","0","No","12/29/2022",,,,,"0","0.00","Banano Cavendish Organico Fairtrade 3lb Banda Costco","Banano Cavendish Organico Fairtrade 3lb Banda Costco Cost","0","0",,"15.75","24.02","9.06","39.99","2.12","No","143,964.00","No","No","No",,,"Fresh Bananas","0.00",,"No","No","0","PRIECOR S.A.","0","No","FIFO","No","Specific Identification","0.00","35,976.15","19.99","19.99","0.00","2","33",,"0","0","0","4,500","3,600",,,,,,
"007ECORE","Stock Item","Banano Cavendish Organico Fairtrade 3lb con Banda Costco",,"Bandeja Organica/Open-Top Case (Morado y verde)","0","No",,"45","0","0.00","0.00","0","Organic banana",,"0","0","No","10/18/2024",,,,,"0","0.00",,,"0","0",,"15.75","24.02","9.06","0.00","2.12","No","0.00","No","No","No",,,,"0.00",,"No","No","0",,"0","No","FIFO","No","Average Cost","0.00","0.00","0.00","0.00","0.00","0","0",,"0","0","0","0","0",,,,,,
"007ECMAR","Stock Item","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","Marplantis Organic Sustainable Agriculture","Caja con tapa organica (morado y verde)","9,900","Yes","Cases","45","4,500","20.40","219,359.38","10,800","Organic banana","Costco Vaughan Wet","0","0","No","01/18/2023",,,,,"0","0.00","Banano Cavendish Organico Fairtrade 3lb Banda Costco","Banano Cavendish Organico Fairtrade 3lb Banda Costco","900","0",,"15.75","24.02","9.06","39.99","2.12","No","395,919.36","No","No","No",,,"Fresh Bananas","0.00",,"No","No","0","Marplantis Organic Sustainable Agriculture","0","No","FIFO","No","Specific Identification","0.00","219,359.38","20.31","20.31","0.00","0","218",,"0","0","0","13,500","9,000",,,,,,
"007ECLAT","Stock Item","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","Latbio S.A.","Can Case","1,800","Yes","Cases","45","900","0.00","54,162.04","2,700","Organic Banana","Costco Vaughan Wet","0","0","No","01/26/2023",,,,,"0","0.00","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","Banano Cavendish Organico Fairtrade 3lb con Banda Costco Cost","0","0",,"15.75","24.02","9.06","39.99","2.12","No","71,985.34","No","No","No",,,"Fresh Bananas","0.00",,"No","No","0","Latbio S.A.","0","No","FIFO","No","Average Cost","0.00","54,162.04","20.06","20.06","0.00","1","26",,"0","0","0","2,700","1,800",,,,,,
"007ECHCM","Stock Item","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","Hacienda Celia María C.A.","Bandeja Organica/Open-Top Case (Morado y verde)","3,600","Yes","Cases","0","900","20.59","72,991.20","3,600","Organic banana","Costco Vaughan Wet","0","0","No","11/13/2023",,,,,"0","0.00","Banane Cavendish Bio & Equitable / Fairtrade & Organic banana","Banane Cavendish Bio & Equitable / Fairtrade & Organic banana","0","0",,"15.75","24.02","9.06","0.00","2.12","No","0.00","No","No","No",,,"Fresh Bananas","0.00",,"No","No","0","Hacienda Celia María C.A.","0","No","FIFO","No","Average Cost","0.00","72,991.20","20.28","20.28","0.00","0","20",,"0","0","0","4,500","3,600",,,,,,
