"Status","Invoiced","Number","Date","Buyer","Job","Quantity","Approved By","Amount","Shipping Date","Seller","Amount (CAD)","Unbilled Balance (CAD)","Unpaid Balance (CAD)","Employee","Reference","Weight (lb)","Volume (ft³)","Approved Date","Payment Terms","Incoterms","Notes","Currency","Billing Address","Shipping Address","Seller Address","Modes of Transportation","Last Event","Online","Type","Exchange Rate","Is Cancelled","Reverse Exchange Rate","Paid","Division","Template Name","Tax Amt. (CAD)","Amt. Before Tax (CAD)","Other Charges (CAD)","Items Amount (CAD)","Online Creator","Is Printed","Attachments","Backordered","External Id","Channel","Store Order Reference","Store Order Date","Courier","Shipment Type","Shipping Cost","Salesperson","Billing Client","Synced to Logistico","POS Order","Fulfilled","Total Discount (CAD)","Total Discount","Returning","Purchase Order","Lot Number","Container#"
"Loading","No","4536","01/11/2025","Costco Vaughan Wet","4536","900",,"USD 0.00","01/13/2025","Equifruit, Inc.","0.00","0.00","0.00","Claudia Ramirez",,"35,992.67","1,906.99",,"Net 30",,,"United States Dollar","100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.69","No","1.45","No",,,"0.00","0.00","0.00","0.00",,"No","No","No",,,,,,,"0.00",,"Costco Vaughan Wet","No","No","No","0.00","USD 0.00","0","250241",,
"Loading","No","4533","01/11/2025","Costco Varennes","4533","900",,"USD 24093.00","01/13/2025","Equifruit, Inc.","34,814.39","34,814.39","0.00","Claudia Ramirez",,"35,992.67","1,906.99",,"Net 30",,,"United States Dollar","3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.69","No","1.45","No",,,"0.00","34,814.39","0.00","34,814.39",,"No","No","No",,,,,,,"0.00",,"Costco Varennes","No","No","No","0.00","USD 0.00","0","5741231077",,
"Loading","No","4565","01/11/2025","Costco Vaughan Wet","4565","855",,"USD 22888.35","01/13/2025","Equifruit, Inc.","33,073.67","33,073.67","0.00","Claudia Ramirez",,"34,193.04","1,811.64",,"Net 30",,,"United States Dollar","100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.69","No","1.45","No",,,"0.00","33,073.67","0.00","33,073.67",,"No","No","No",,,,,,,"0.00",,"Costco Vaughan Wet","No","No","No","0.00","USD 0.00","0","250354",,
"Loading","No","4543","01/11/2025","Krown Produce  Fresh At Its Best™",,"900",,"USD 24093.00","01/13/2025","Equifruit, Inc.","34,814.39","34,814.39","0.00","Claudia Ramirez",,"35,992.67","1,906.99",,"Net 10",,,"United States Dollar","4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.69","No","1.45","No",,,"0.00","34,814.39","0.00","34,814.39",,"No","No","No",,,,,,,"0.00",,"Krown Produce  Fresh At Its Best™","No","No","No","0.00","USD 0.00","0","AL1739",,
"Loading","No","4537","01/11/2025","Costco Varennes","4537","900",,"USD 24093.00","01/12/2025","Equifruit, Inc.","34,814.39","34,814.39","0.00","Claudia Ramirez",,"35,992.67","1,906.99",,"Net 30",,,"United States Dollar","3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.69","No","1.45","No",,,"0.00","34,814.39","0.00","34,814.39",,"No","No","No",,,,,,,"0.00",,"Costco Varennes","No","No","No","0.00","USD 0.00","0","5741231066",,
"Loading","No","4532","01/11/2025","Costco Vaughan Wet","4532","900",,"USD 24093.00","01/12/2025","Equifruit, Inc.","34,814.39","34,814.39","0.00","Claudia Ramirez",,"35,992.67","1,906.99",,"Net 30",,,"United States Dollar","100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.69","No","1.45","No",,,"0.00","34,814.39","0.00","34,814.39",,"No","No","No",,,,,,,"0.00",,"Costco Vaughan Wet","No","No","No","0.00","USD 0.00","0","250353",,
"Loading","No","4564","01/09/2025","Costco Vaughan Wet","4564","900",,"USD 24093.00","01/10/2025","Equifruit, Inc.","34,790.29","34,790.29","0.00","Claudia Ramirez",,"35,992.67","1,906.99",,"Net 30",,,"United States Dollar","100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.69","No","1.44","No",,,"0.00","34,790.29","0.00","34,790.29",,"No","No","No",,,,,,,"0.00",,"Costco Vaughan Wet","No","No","No","0.00","USD 0.00","0","250239",,
"Loading","No","4572","01/09/2025","Krown Produce  Fresh At Its Best™","4572","900",,"USD 22599.00","01/10/2025","Equifruit, Inc.","32,632.96","32,632.96","0.00","Claudia Ramirez",,"35,992.67","1,906.99",,"Net 10",,,"United States Dollar","4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","4923 47th Street SE,, Calgary, AB T2B 3S5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.69","No","1.44","No",,,"0.00","32,632.96","0.00","32,632.96",,"No","No","No",,,,,,,"0.00",,"Krown Produce  Fresh At Its Best™","No","No","No","0.00","USD 0.00","0","AL1704",,"CAAU4105992"
"Loading","No","4575QC","01/09/2025","Sobeys Quebec City","4575","240",,"USD 5714.40","01/10/2025","Equifruit, Inc.","8,251.59","8,251.59","0.00","Claudia Ramirez",,"9,598.05","508.53",,"Net 30",,,"United States Dollar","950, avenue Galilee, Duberger, QC G1P 4B7. Canada","950, avenue Galilee, Duberger, QC G1P 4B7. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.69","No","1.44","No",,,"0.00","8,251.59","0.00","8,251.59",,"No","No","No",,,,,,,"0.00",,"Sobeys Quebec City","No","No","No","0.00","USD 0.00","0","4567010205",,"BEAU9710377"
"Loading","No","4575BCH","01/09/2025","Sobeys BCH","4575","720",,"USD 17143.20","01/10/2025","Equifruit, Inc.","24,754.78","24,754.78","0.00","Claudia Ramirez",,"28,794.14","1,525.59",,"Net 30",,,"United States Dollar","Montreal, QC H1G 3J5. Canada","1500 Bd de Montarville, Boucherville, QC J4B 5Y3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.69","No","1.44","No",,,"0.00","24,754.78","0.00","24,754.78",,"No","No","No",,,,,,,"0.00",,"Sobeys BCH","No","No","No","0.00","USD 0.00","0","4567010098",,"BEAU9710377"
"Loading","No","4550","01/09/2025","Courchesne Larose","4550","960",,"USD 24643.20","01/13/2025","Equifruit, Inc.","35,584.78","35,584.78","0.00","Claudia Ramirez",,"38,392.18","2,034.12",,"Net 30",,,"United States Dollar","9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.69","No","1.44","No",,,"0.00","35,584.78","0.00","35,584.78",,"No","No","No",,,,,,,"0.00",,"Courchesne Larose","No","No","No","0.00","USD 0.00","0","2486593",,"SEGU9465097"
"Loading","No","4560","01/09/2025","Chiovitti Banana Co., Ltd","4560","960",,"USD 23385.60","01/12/2025","Equifruit, Inc.","33,768.81","33,768.81","0.00","Claudia Ramirez",,"38,392.18","2,034.12",,"Net 30",,,"United States Dollar","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.69","No","1.44","No",,,"0.00","33,768.81","0.00","33,768.81",,"No","No","No",,,,,,,"0.00",,"Chiovitti Banana Co., Ltd","No","No","No","0.00","USD 0.00","0","250355",,"BMOU9887238"
"Loading","No","4527CH","01/08/2025","Charlies Seattle","4527","720",,"USD 20174.40","01/10/2025","Equifruit, Inc.","28,950.26","28,950.26","0.00","Claudia Ramirez",,"28,794.14","1,525.59",,"Net 30",,,"United States Dollar","5033 1st Ave S, Seattle 98134, Seattle, WA 98134. United States","5033 1st Ave S, Seattle 98134, Seattle, WA 98134. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.70","No","1.44","No",,,"0.00","28,950.26","0.00","28,950.26",,"No","No","No",,,,,,,"0.00",,"Charlies Seattle","No","No","No","0.00","USD 0.00","0","7002396",,
"Loading","No","4527S","01/08/2025","Sprouts Farmers Market - Distribution Centers","4527","48","Naomi Bendayan","USD 0.00","01/08/2025","Equifruit, Inc.","0.00","0.00","0.00","Claudia Ramirez",,"0.00","0.00","01/12/2025","Net 30",,,"United States Dollar","5445 West Missouri Ave, Glendale, AZ 85301. United States","5445 West Missouri Ave, Glendale, AZ 85301. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.70","No","1.44","No",,,"0.00","0.00","0.00","0.00",,"No","No","No",,,,,,,"0.00",,"Sprouts Farmers Market - Distribution Centers","No","No","No","0.00","USD 0.00","0","0980162917",,
