Status,Number,Seller,Carrier,Amount,Quantity,Invoiced,Departure Date,Arrival Date,Port of Arrival,PARS number,Shipping Date,ISF,Amount (CAD),Unbilled Balance (CAD),Unpaid Balance (CAD),Temperature,Job:Description,Job:Expense,Job:Income,Job:Customer,Type,Attachments,Partially Received,Received Quantity,Reference,Date,Employee,Buyer,Job,Weight (lb),Volume (ft³),Approved By,Approved Date,Payment Terms,Incoterms,Notes,Currency,Billing Address,Shipping Address,Seller Address,Modes of Transportation,Last Event,Online,Exchange Rate,Is Cancelled,Reverse Exchange Rate,Paid,Division,Template Name,Tax Amt. (CAD),Amt. Before Tax (CAD),Other Charges (CAD),Items Amount (CAD),Online Creator,Is Printed,Pallets,Ventilation,Container#,Bill of Lading,US Customs,Canadian Customs,Customer,Remark,Examination,Job:Due Date,Temperature Recorder,Band Packaging,Sticker Packaging,Cases Packaging,Cornerboards Packaging,Port of Loading,Customs Clearance,Buyer:Name,Buyer:Account Number
Open,4637,Marplantis Organic Sustainable Agriculture,Maersk,USD 12690.00,900,No,1/18/25,2/3/25,Philadelphia,,2/13/25,<none>,"18,337.05","18,337.05",0,13.9,,"18,337.05",0,,Unknown,No,No,0,,1/10/25,David Melo,"Equifruit, Inc.",4637,"35,992.67","1,906.99",,,,FOB,,United States Dollar,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,,No,0.69,No,1.45,No,,,0,"18,337.05",0,"18,337.05",,No,Walk Global/Escobar,25,,MAEU249009979,<none>,<none>,,,,1/10/25,,,,,Plastico,Puerto Bolivar,,"Equifruit, Inc.",
Open,4634,C.I. AGRICOLAS LAS FLORES S.A.S.,Dole Shipping,USD 13536.00,960,No,1/25/25,2/2/25,Wilmington,,2/10/25,<none>,"19,545.98","19,545.98",0,13.9,,"19,545.98",0,,Unknown,No,No,0,,1/8/25,David Melo,"Equifruit, Inc.",4634,"38,392.18","2,034.12",,,,FOB,,United States Dollar,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",,,No,0.69,No,1.44,No,,,0,"19,545.98",0,"19,545.98",,No,Chep,25,,,<none>,<none>,,,,1/8/25,,,,,Carton,Santa Marta,,"Equifruit, Inc.",
Open,4631,Latbio S.A.,Maersk,USD 0.00,900,No,1/18/25,2/3/25,Philadelphia,,2/12/25,<none>,0,0,0,13.9,,0,0,,Unknown,No,No,0,,1/8/25,David Melo,"Equifruit, Inc.",4631,"35,992.67","1,906.99",,,Net 10,FOB,,United States Dollar,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","10 de agosto entre Pichincha y García Moreno, Pasaje, El Oro Ecuador",,,No,0.69,No,1.44,No,,,0,0,0,0,,No,Walk Global/Escobar,25,,MAEU248914945,<none>,<none>,,,,1/8/25,,,,,Plastico,Puerto Bolivar,,"Equifruit, Inc.",
Open,4630,Hacienda Celia María C.A.,Maersk,USD 12807.00,900,No,1/18/25,2/3/25,Philadelphia,,2/11/25,<none>,"18,493.31","18,493.31",0,13.9,,"18,493.31",0,,Unknown,No,No,0,,1/8/25,David Melo,"Equifruit, Inc.",4630,0,"1,908.00",,,,FOB,,United States Dollar,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","Luque 127 y Pedro Carbo, Guayaquil, Ecuador",,,No,0.69,No,1.44,No,,,0,"18,493.31",0,"18,493.31",,No,Walk Global/Escobar,25,,MAEU248914871,<none>,<none>,,,,1/8/25,,,,,Plastico,Puerto Bolivar,,"Equifruit, Inc.",
Open,4633,C.I. AGRICOLAS LAS FLORES S.A.S.,Seaboard,USD 13536.00,960,No,1/25/25,2/4/25,Philadelphia,,2/12/25,<none>,"19,545.98","19,545.98",0,13.9,,"19,545.98",0,,Unknown,No,No,0,,1/8/25,David Melo,"Equifruit, Inc.",4633,"38,392.18","2,034.12",,,,FOB,,United States Dollar,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",,,No,0.69,No,1.44,No,,,0,"19,545.98",0,"19,545.98",,No,Chep,25,,,<none>,<none>,,,,1/8/25,,,,,Carton,Santa Marta,,"Equifruit, Inc.",
Open,4632,ASOGUABO,Maersk,USD 13344.00,960,No,1/18/25,2/3/25,Philadelphia,,2/10/25,<none>,"19,268.74","19,268.74",0,13.9,,"19,268.74",0,,Unknown,No,No,0,,1/8/25,David Melo,"Equifruit, Inc.",4632,"38,392.18","2,034.12",,,Due on receipt,FOB,,United States Dollar,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,,No,0.69,No,1.44,No,,,0,"19,268.74",0,"19,268.74",,No,Tipo CHEP,25,,MAEU248915161,<none>,<none>,,,,1/8/25,,,,,Plastico reciclado,Puerto Bolivar,,"Equifruit, Inc.",
Open,4626,ASOGUABO,COSCO Shipping,USD 13344.00,960,No,1/18/25,1/29/25,Philadelphia,,2/6/25,<none>,"19,268.74","19,268.74",0,13.9,,"19,268.74",0,,Unknown,No,No,0,,1/8/25,David Melo,"Equifruit, Inc.",4626,"38,392.18","2,034.12",,,Due on receipt,FOB,,United States Dollar,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,,No,0.69,No,1.44,No,,,0,"19,268.74",0,"19,268.74",,No,Walk Global/Escobar,25,,,<none>,<none>,,,,1/8/25,,,,,Plastico reciclado,Guayaquil,,"Equifruit, Inc.",
Open,4625,ASOGUABO,COSCO Shipping,USD 12645.00,900,No,1/18/25,1/29/25,Philadelphia,,2/10/25,<none>,"18,259.38","18,259.38",0,13.9,,"18,259.38",0,,Unknown,No,No,0,,1/8/25,David Melo,"Equifruit, Inc.",4625,"35,992.67","1,906.99",,,Due on receipt,FOB,,United States Dollar,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,,No,0.69,No,1.44,No,,,0,"18,259.38",0,"18,259.38",,No,Walk Global/Escobar,25,,,<none>,<none>,,,,1/8/25,,,,,Plastico,Guayaquil,,"Equifruit, Inc.",
Open,4635,ASOGUABO,Dole Shipping,USD 12645.00,900,No,1/17/25,1/26/25,San Diego,,2/10/25,<none>,"18,259.38","18,259.38",0,13.9,,"18,259.38",0,,Unknown,No,No,0,,1/8/25,David Melo,"Equifruit, Inc.",4635,"35,992.67","1,906.99",,,Due on receipt,FOB,,United States Dollar,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,,No,0.69,No,1.44,No,,,0,"18,259.38",0,"18,259.38",,No,Walk Global/Escobar,25,,,<none>,<none>,,,,1/8/25,,,,,Plastico reciclado,Guayaquil,,"Equifruit, Inc.",
Open,4629,ASOGUABO,Maersk,USD 12645.00,900,No,1/18/25,2/3/25,Philadelphia,,2/7/25,<none>,"18,259.38","18,259.38",0,13.9,,"18,259.38",0,,Unknown,No,No,0,,1/8/25,David Melo,"Equifruit, Inc.",4629,"35,992.67","1,906.99",,,Due on receipt,FOB,,United States Dollar,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,,No,0.69,No,1.44,No,,,0,"18,259.38",0,"18,259.38",,No,Walk Global/Escobar,25,,MAEU248961776,<none>,<none>,,,,1/8/25,,,,,Plastico reciclado,Puerto Bolivar,,"Equifruit, Inc.",
